city,baseline_r2,pc_only_r2,rawdim_only_r2,combined_r2,delta_pc_vs_baseline,delta_rawdim_vs_baseline,delta_combined_vs_baseline,delta_combined_vs_pc,delta_combined_vs_rawdim,best_model,recommendation,top_rawdim_pairs,pc_theme_message
Houston,0.403,0.7833,0.7544,0.7773,0.3803,0.3514,0.3743,-0.006,0.0229,baseline_plus_pc1_to_pc7,Stable raw dims capture similar signal to PCs and help interpretation,A16 ↔ lst_c (|r|=0.697); A07 ↔ lst_c (|r|=0.684),PC1 explains 33.2% (cum 33.2%). Theme: land/water structure + thermal pattern. Top factors: land area (0.597); LST (0.535); HI-LST gap (0.500). | PC2 explains 17.9% (cum 51.1%). Theme: thermal pattern + land/water structure. Top factors: LST (0.380); HI-LST gap (0.370); land area (0.181). | PC3 explains 9.1% (cum 60.2%). Theme: thermal pattern + land/water structure. Top factors: LST (0.319); HI-LST gap (0.309); land area (0.249). | PC4 explains 7.2% (cum 67.3%). Theme: thermal pattern + land/water structure. Top factors: LST (0.365); HI-LST gap (0.332); land area (0.293).
Phoenix,0.1759,0.6685,0.7212,0.7311,0.4927,0.5453,0.5553,0.0626,0.01,baseline_plus_pc1_to_pc7_plus_stable_rawdims,Stable raw dims add useful information beyond PCs,A59 ↔ hi_minus_lst (|r|=0.627); A58 ↔ median_household_income_clean (|r|=0.593),PC1 explains 32.8% (cum 32.8%). Theme: socioeconomic gradient + land/water structure. Top factors: land area (0.459); median income (0.288); poverty rate (0.228). | PC2 explains 16.3% (cum 49.1%). Theme: thermal pattern + socioeconomic gradient. Top factors: median income (0.206); HI-LST gap (0.196); HI (0.191). | PC3 explains 13.7% (cum 62.8%). Theme: thermal pattern + socioeconomic gradient. Top factors: HI-LST gap (0.405); LST (0.397); median income (0.354). | PC4 explains 7.6% (cum 70.4%). Theme: thermal pattern + socioeconomic gradient. Top factors: HI-LST gap (0.267); LST (0.242); HI (0.206).
