city,path,layer,rows_total,geoid_col,lst_col,hi_col,complete_n,score,reason,columns_preview
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_with_lst.gpkg,,373,GEOID,lst_summer_mean_c,,0,-999999,missing HI,"STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, geometry"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_gistar.gpkg,,373,GEOID,lst_summer_mean_c,,0,-999999,missing HI,"STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_demo_poverty.gpkg,,373,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, geometry"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_demo.gpkg,,373,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, geometry"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_demo_clean.gpkg,,373,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, geometry"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_tracts_projected.gpkg,,1009,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, geometry"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_city_tracts.gpkg,,373,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, geometry"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_tracts_clean.geojson,,1009,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, geometry"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_city_boundary.gpkg,,1,GEOID,,,0,-999999,"missing LST, HI","STATEFP, PLACEFP, PLACENS, GEOID, GEOIDFQ, NAME, NAMELSAD, LSAD, CLASSFP, PCICBSA, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, geometry"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_with_alphaearth_pc5_corrected.geojson,,373,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, A00, A01, A02"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_heat_ready_with_alphaearth.geojson,,373,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, A00, A01, A02"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_with_alphaearth_pc7_corrected.geojson,,373,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, A00, A01, A02"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_heat_ready_with_alphaearth_fixed.geojson,,373,GEOID,,,0,-999999,"missing LST, HI","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, A00, A01, A02"
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/heat_ready/phoenix/phoenix_boundary_heat_ready.geojson,,1,GEOID,,,0,-999999,"missing LST, HI","STATEFP, PLACEFP, PLACENS, GEOID, GEOIDFQ, NAME, NAMELSAD, LSAD, CLASSFP, PCICBSA, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, geometry"
