model,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,delta_vs_baseline_r2,delta_vs_baseline_rmse,delta_vs_baseline_mae
baseline_factors_only,5,0.11164300325828318,0.1302694184263517,1.1000798430579142,0.1337956238727813,0.7882991505592496,0.059003501771550344,0.0,0.0,0.0
extended_factors_plus_PC1_to_PC5,10,0.4271859541956278,0.08428945064080774,0.8841459472019088,0.11356911451918718,0.6344787882346834,0.03744009593781169,0.31554295093734464,-0.21593389585600542,-0.1538203623245662
