pc,mean,std,min,p5,median,p95,max,explained_variance_ratio,cumulative_explained_variance
PC1,8.691654260062388e-17,4.610707606024491,-15.162447455630932,-9.384592851207614,0.666139695109031,6.363352505625499,9.06429384701765,0.3316581107188599,0.3316581107188599
PC2,-2.172913565015597e-17,3.3897518931022086,-8.766347190091215,-5.430424172723736,-0.00622476775632637,5.510018851197327,8.318483857380434,0.1792632570385095,0.5109213677573695
PC3,7.605197477554589e-17,2.4121548665424624,-10.99025925953476,-4.405312196219102,0.3208651156612228,3.3205715654198196,6.143013833338357,0.0907749113250301,0.6016962790823996
