fold,baseline_r2,baseline_rmse,baseline_mae,extended_r2,extended_rmse,extended_mae
1,0.007666346114939326,1.1815346384379346,0.9585582045906942,0.5854135605401605,0.7637041392087632,0.5669512717498325
2,0.300288249241654,0.9939704185640068,0.8096752367277688,0.7027445162669418,0.6478564896429986,0.5302128497072789
3,0.023766455695835575,1.0733685897038538,0.8319794569770829,0.5365114233992934,0.7395908617436879,0.5880349900374964
4,0.15923143061315037,1.148611010158525,0.9537776176544139,0.5892418320842225,0.8028378606941744,0.6411647167931079
5,0.17427091882383294,1.1270527624405142,0.8861236315867091,0.57678386977923,0.8068755648114573,0.6007624803171181
