city,pc,pc_num,sign,rank,embedding_dim,loading,abs_loading,variable,spearman_r,abs_spearman_r,n
Houston,PC1,1,positive,4,A50,0.1794601686021968,0.1794601686021968,lst_c,0.8060503076568499,0.8060503076568499,654
Houston,PC1,1,positive,4,A50,0.1794601686021968,0.1794601686021968,hi_minus_lst,-0.789815977170291,0.789815977170291,549
Houston,PC1,1,positive,2,A16,0.19430923996529,0.19430923996529,lst_c,0.6966958727876222,0.6966958727876222,654
Houston,PC1,1,negative,4,A62,-0.1796827289735654,0.1796827289735654,lst_c,-0.6907576392451159,0.6907576392451159,654
Houston,PC1,1,negative,6,A07,-0.1955719360613186,0.1955719360613186,lst_c,-0.684400409386899,0.684400409386899,654
Houston,PC1,1,positive,2,A16,0.19430923996529,0.19430923996529,hi_minus_lst,-0.6605488412907344,0.6605488412907344,549
Houston,PC1,1,positive,2,A16,0.19430923996529,0.19430923996529,ALAND,-0.6545136643012416,0.6545136643012416,654
Houston,PC1,1,negative,4,A62,-0.1796827289735654,0.1796827289735654,hi_minus_lst,0.6518258328166191,0.6518258328166191,549
Houston,PC2,2,positive,2,A51,0.2352166990086882,0.2352166990086882,lst_c,0.6680924138479848,0.6680924138479848,654
Houston,PC2,2,positive,2,A51,0.2352166990086882,0.2352166990086882,hi_minus_lst,-0.667814461474866,0.667814461474866,549
Houston,PC2,2,negative,4,A08,-0.2182420730412987,0.2182420730412987,lst_c,-0.6664279255660575,0.6664279255660575,654
Houston,PC2,2,negative,4,A08,-0.2182420730412987,0.2182420730412987,hi_minus_lst,0.6594131575416726,0.6594131575416726,549
Houston,PC2,2,negative,5,A42,-0.2287034388403287,0.2287034388403287,lst_c,-0.6024195138943481,0.6024195138943481,654
Houston,PC2,2,negative,5,A42,-0.2287034388403287,0.2287034388403287,hi_minus_lst,0.6004087301155628,0.6004087301155628,549
Houston,PC2,2,positive,4,A30,0.160381559724519,0.160381559724519,lst_c,0.5005452807842656,0.5005452807842656,654
Houston,PC2,2,positive,4,A30,0.160381559724519,0.160381559724519,hi_minus_lst,-0.49017125907876186,0.49017125907876186,549
Houston,PC3,3,positive,5,A50,0.1636634989401925,0.1636634989401925,lst_c,0.8060503076568499,0.8060503076568499,654
Houston,PC3,3,positive,5,A50,0.1636634989401925,0.1636634989401925,hi_minus_lst,-0.789815977170291,0.789815977170291,549
Houston,PC3,3,positive,5,A50,0.1636634989401925,0.1636634989401925,ALAND,-0.6178950936955684,0.6178950936955684,654
Houston,PC3,3,positive,6,A03,0.1635370444524173,0.1635370444524173,lst_c,-0.5374469859945967,0.5374469859945967,654
Houston,PC3,3,positive,5,A50,0.1636634989401925,0.1636634989401925,AWATER,-0.49545113145392894,0.49545113145392894,654
Houston,PC3,3,positive,6,A03,0.1635370444524173,0.1635370444524173,ALAND,0.48558843789812456,0.48558843789812456,654
Houston,PC3,3,positive,4,A46,0.2125923137492871,0.2125923137492871,ALAND,0.47738448403061845,0.47738448403061845,654
Houston,PC3,3,positive,6,A03,0.1635370444524173,0.1635370444524173,hi_minus_lst,0.4607629242043506,0.4607629242043506,549
Houston,PC4,4,negative,1,A62,-0.1766495339753233,0.1766495339753233,lst_c,-0.6907576392451159,0.6907576392451159,654
Houston,PC4,4,negative,1,A62,-0.1766495339753233,0.1766495339753233,hi_minus_lst,0.6518258328166191,0.6518258328166191,549
Houston,PC4,4,negative,5,A15,-0.2133850264968098,0.2133850264968098,lst_c,-0.6176611644532655,0.6176611644532655,654
Houston,PC4,4,positive,5,A05,0.1856326612924974,0.1856326612924974,lst_c,-0.6174013241047183,0.6174013241047183,654
Houston,PC4,4,negative,1,A62,-0.1766495339753233,0.1766495339753233,ALAND,0.6063571869590346,0.6063571869590346,654
Houston,PC4,4,negative,5,A15,-0.2133850264968098,0.2133850264968098,hi_minus_lst,0.6000369858692224,0.6000369858692224,549
Houston,PC4,4,negative,4,A11,-0.2071061873229894,0.2071061873229894,ALAND,-0.5899555854038535,0.5899555854038535,654
Houston,PC4,4,positive,5,A05,0.1856326612924974,0.1856326612924974,hi_minus_lst,0.5764442800628036,0.5764442800628036,549
Phoenix,PC1,1,positive,4,A62,0.1991453390270667,0.1991453390270667,ALAND,0.5699619984636594,0.5699619984636594,373
Phoenix,PC1,1,positive,5,A36,0.1980645000395208,0.1980645000395208,ALAND,0.5683343191749822,0.5683343191749822,373
Phoenix,PC1,1,positive,6,A46,0.1955515582943617,0.1955515582943617,ALAND,0.5607740159581478,0.5607740159581478,373
Phoenix,PC1,1,positive,2,A40,0.2003509155306073,0.2003509155306073,ALAND,0.545016813263401,0.545016813263401,373
Phoenix,PC1,1,positive,4,A62,0.1991453390270667,0.1991453390270667,median_household_income_clean,0.5355575799426048,0.5355575799426048,368
Phoenix,PC1,1,negative,6,A34,-0.1877733930982424,0.1877733930982424,ALAND,-0.5258114000909224,0.5258114000909224,373
Phoenix,PC1,1,positive,5,A36,0.1980645000395208,0.1980645000395208,median_household_income_clean,0.5073046788724253,0.5073046788724253,368
Phoenix,PC1,1,negative,5,A57,-0.1829447146173571,0.1829447146173571,hi_minus_lst,0.4835476469444365,0.4835476469444365,332
Phoenix,PC2,2,positive,6,A05,0.1880463194846157,0.1880463194846157,median_household_income_clean,0.5621430003707596,0.5621430003707596,368
Phoenix,PC2,2,negative,6,A63,-0.2491039143085237,0.2491039143085237,median_household_income_clean,-0.48980407824830585,0.48980407824830585,368
Phoenix,PC2,2,positive,2,A44,0.2453841260764659,0.2453841260764659,hi_minus_lst,-0.4727580199134088,0.4727580199134088,332
Phoenix,PC2,2,positive,2,A44,0.2453841260764659,0.2453841260764659,lst_c,0.4361317978560603,0.4361317978560603,373
Phoenix,PC2,2,negative,3,A06,-0.1604767866166793,0.1604767866166793,hi_c,0.4273881986509248,0.4273881986509248,332
Phoenix,PC2,2,negative,6,A63,-0.2491039143085237,0.2491039143085237,poverty_rate,0.4267555307592123,0.4267555307592123,370
Phoenix,PC2,2,positive,6,A05,0.1880463194846157,0.1880463194846157,poverty_rate,-0.4259007676402983,0.4259007676402983,370
Phoenix,PC2,2,negative,1,A26,-0.1482120828773648,0.1482120828773648,hi_minus_lst,0.4008620421098127,0.4008620421098127,332
Phoenix,PC3,3,negative,5,A59,-0.2289037077779515,0.2289037077779515,hi_minus_lst,0.6268421444412418,0.6268421444412418,332
Phoenix,PC3,3,negative,2,A15,-0.1831986757192275,0.1831986757192275,median_household_income_clean,0.612618542372701,0.612618542372701,368
Phoenix,PC3,3,negative,1,A07,-0.1802543107364012,0.1802543107364012,median_household_income_clean,0.6074180494967258,0.6074180494967258,368
Phoenix,PC3,3,negative,5,A59,-0.2289037077779515,0.2289037077779515,lst_c,-0.5987549721798415,0.5987549721798415,373
Phoenix,PC3,3,positive,4,A21,0.1966293003340004,0.1966293003340004,hi_minus_lst,-0.5983099541138343,0.5983099541138343,332
Phoenix,PC3,3,positive,1,A58,0.2840389867934317,0.2840389867934317,median_household_income_clean,-0.5931806543109773,0.5931806543109773,368
Phoenix,PC3,3,negative,2,A15,-0.1831986757192275,0.1831986757192275,poverty_rate,-0.5810085280863007,0.5810085280863007,370
Phoenix,PC3,3,negative,1,A07,-0.1802543107364012,0.1802543107364012,poverty_rate,-0.5565430659770282,0.5565430659770282,370
Phoenix,PC4,4,positive,5,A28,0.210951794123496,0.210951794123496,hi_minus_lst,-0.5357541868297884,0.5357541868297884,332
Phoenix,PC4,4,positive,5,A28,0.210951794123496,0.210951794123496,lst_c,0.5345080033538656,0.5345080033538656,373
Phoenix,PC4,4,positive,6,A49,0.1991272562009512,0.1991272562009512,median_household_income_clean,-0.5290286407558645,0.5290286407558645,368
Phoenix,PC4,4,negative,2,A53,-0.1443259063472318,0.1443259063472318,lst_c,-0.49930698184001054,0.49930698184001054,373
Phoenix,PC4,4,positive,6,A49,0.1991272562009512,0.1991272562009512,poverty_rate,0.4700227016839994,0.4700227016839994,370
Phoenix,PC4,4,negative,2,A53,-0.1443259063472318,0.1443259063472318,hi_minus_lst,0.44543356737147,0.44543356737147,332
Phoenix,PC4,4,negative,4,A08,-0.1704199639775435,0.1704199639775435,hi_c,-0.43535493010714554,0.43535493010714554,332
Phoenix,PC4,4,positive,6,A49,0.1991272562009512,0.1991272562009512,hi_c,0.40703365378133016,0.40703365378133016,332
