pc,explained_variance_ratio,cumulative_explained_variance
PC1,0.32801050180082625,0.32801050180082625
PC2,0.16278531083630146,0.4907958126371277
PC3,0.13671836734705262,0.6275141799841804
PC4,0.07617614484853572,0.7036903248327161
PC5,0.07242873433172195,0.776119059164438
PC6,0.04816467097928609,0.8242837301437241
PC7,0.025586423739900107,0.8498701538836242
