embedding_dim,PC1,PC2,PC3,PC4
A00,0.17532891459170497,-0.07576656056279851,-0.1509373993385841,-0.024595916956490837
A01,-0.17702210889150827,0.09026982059809854,-0.05800448316350956,-0.00868672523601253
A02,0.0710465161768346,0.06250545023562076,0.2658458487465599,0.07107159665670876
A03,-0.14428444741282737,-0.11491476223237873,0.16353704445241735,0.03243980457178064
A04,0.05511649657442832,-0.12478742778467959,-0.11713469363704627,0.316699343709518
A05,-0.16143408772183696,-0.09824067652452344,0.06036162543054818,0.18563266129249748
A06,-0.14722901211641937,0.08195627902159235,-0.1136778488389953,0.15701873714582001
A07,-0.19557193606131865,-0.005256631993977219,-0.051670783647950885,-0.07275462089460026
A08,-0.10407204188094835,-0.2182420730412987,0.04971376929745944,-0.04143510672828461
A09,-0.13775028879659623,0.12665674615525832,-0.20091029661541046,0.04336833207234252
A10,0.14424539709557682,-0.07687275737486488,0.01810142359516031,-0.032335404286637115
A11,0.17253233299650741,0.04868810797372673,-0.000779520323360021,-0.20710618732298947
A12,0.014750076673225756,0.19666654986049517,-0.015218026325221037,0.03906108891302465
A13,-0.18415389437338597,0.02980092339615991,0.07118650635991247,-0.14366928878750637
A14,-0.14953721889153843,-0.03691546135727894,0.03430815199435038,-0.11902335390634362
A15,-0.08765032367019282,-0.1863101189972622,0.10736405322279273,-0.21338502649680988
A16,0.19430923996529,0.06183314015489682,-0.06054974376165893,0.115364421769839
A17,0.11918628525489416,-0.05568573618958066,0.28553730600141564,0.09088276546724637
A18,0.07652540201102637,-0.19324189227175076,0.09257843847489369,-0.07455462865543437
A19,0.014159762748064575,-0.15281700730343378,-0.22377345895473547,0.16610527217403653
A20,0.17601388869132548,0.0937033234125711,-0.021837925499350215,-0.09875171038012372
A21,0.017766144895366695,-0.10984259975599757,0.2322763026043844,0.046229094795281284
A22,0.03952197741002633,-0.19161226920142024,0.03927621252265101,-0.29639653082306544
A23,-0.02392619524319974,-0.13687497763067744,-0.055897923678481884,-0.04473566228775372
A24,-0.024802705323152634,-0.13722838118709993,-0.25407446896447317,-0.02866282924306786
A25,-0.022438075026205536,-0.2292059913338159,0.0689619163439562,0.22584161234170827
A26,0.14345905908073242,-0.04202666063511049,0.11557737183525349,0.13592065861892139
A27,0.17509755749108943,0.046362123004826936,-0.11985371366036586,-0.0814749396558856
A28,-0.02561815155282755,-0.1261565432483641,-0.2618879419394167,-0.05170633697549725
A29,-0.1434457880409503,0.09504755773638013,0.1138333075437039,0.10556841340785406
A30,0.09539368525569616,0.16038155972451903,0.034968104654929964,-0.12147350813130742
A31,-0.024430922395605268,0.09876737196662741,-0.27260070112011725,-0.10044026533840252
A32,-0.03214731947677713,0.25876411175567254,0.03419272025780265,-0.14398507578179826
A33,-0.07311699872875992,-0.19065427484600644,-0.06166535197146524,-0.047172873627176724
A34,0.1922481075081102,-0.060816810027331414,-0.09073487129859854,0.10176526069785471
A35,-0.14038042144844246,0.11561723935939554,0.15946368583747464,-0.06728902717649116
A36,-0.15858830933415444,0.01747162095522649,0.0014044869874202716,-0.016886443164881703
A37,0.1477297546865203,0.09867633766359411,-0.05414722925598093,-0.19783214630365442
A38,0.026943056753075425,-0.02117368067133578,-0.23784752591967337,-0.054861188985367064
A39,0.12966405172197967,0.10720551360091454,0.10141944592434293,0.09196194317650114
A40,-0.037118287857037316,0.14789562322285849,0.11696329411920299,0.19254782305374374
A41,-0.17036057807857008,0.06851010013393068,-0.08068307083280524,0.028858546154567795
A42,-0.07535675193933937,-0.2287034388403287,-0.08241669719302785,0.039234136896769106
A43,-0.05960924876474773,-0.20800552867267447,0.03125286962640416,-0.16142596230699674
A44,0.06803978194670467,-0.1961572992169584,-0.11702078081883345,0.11498627238096053
A45,-0.044302421913560666,0.017372579989264014,-0.06101686204394967,0.08514544077250531
A46,-0.13165406986266032,0.04002980812099475,0.21259231374928717,0.09251424752733026
A47,0.16859154296933443,0.027687737092283737,0.0006883138966578267,-0.12280970423772804
A48,0.08239131360457659,-0.09402538687886196,0.06859744389904686,-0.18332390770320528
A49,0.02343082970858017,0.12947125859461975,-0.1283302874052459,0.14490478999639483
A50,0.1794601686021968,0.045636417503637464,0.16366349894019258,-0.014963393651394824
A51,0.1139663161409115,0.23521669900868827,-0.0039155324617367974,0.012190694658159293
A52,-0.1687637334872871,-0.01293464592440059,-0.14755690567771848,-0.11505634634775827
A53,-0.14188822410345547,-0.16321389245931342,0.07422440243992887,0.012482731879831331
A54,0.13621900998549394,-0.06714589312085473,-0.06591142508378817,0.1408364938038308
A55,-0.17077938377433807,0.09272565568708709,0.004439936483793411,0.04569136333490728
A56,0.19749499714175076,-0.08480443076921285,-0.05805572604781338,-0.012246752400076163
A57,-0.13393995290367944,-0.0391737239329104,0.0308921803338624,0.050898906643611436
A58,-0.0830988282409152,0.07420526208714445,-0.05755149561098016,-0.017557800678444736
A59,-0.018858494984378228,0.012627445129011558,-0.09443464644265757,0.31170953369003257
A60,0.15872252255120978,-0.1362277309682881,-0.03652675428602595,-0.04498783778345318
A61,0.1167665043249043,-0.16733071147661188,0.15634134419461015,0.06773139517175303
A62,-0.17968272897356544,-0.02169619551603769,-0.005665685389434104,-0.1766495339753233
A63,0.00430132261198088,0.14079660130493138,-0.06541333221422022,0.019411348150232044
