city,model,fold,r2,rmse,mae
Houston,baseline_factors_only,1,0.28215476614563506,0.7050942995503695,0.5209228827684698
Houston,baseline_factors_only,2,0.4403959362558496,0.7525842852048124,0.5708721172318019
Houston,baseline_factors_only,3,0.5785988851010293,0.7110968979138487,0.5217185151535109
Houston,baseline_factors_only,4,0.5127693476333085,0.7521202502142157,0.5774348606586918
Houston,baseline_factors_only,5,0.20107007309497393,0.8813574628906282,0.5935105935718172
Houston,baseline_plus_pc1_to_pc7,1,0.8049770044392291,0.3675146911739416,0.27780136097125174
Houston,baseline_plus_pc1_to_pc7,2,0.8389602951766146,0.40372086831093845,0.30935529450797217
Houston,baseline_plus_pc1_to_pc7,3,0.8182968566986852,0.46694116666904834,0.3587319927451428
Houston,baseline_plus_pc1_to_pc7,4,0.7997335120479278,0.4821965751510712,0.3609050137901238
Houston,baseline_plus_pc1_to_pc7,5,0.6545248308022218,0.5795703514421463,0.33740938305155166
Houston,baseline_plus_stable_rawdims,1,0.738310349036962,0.4257209934395232,0.31558813407786085
Houston,baseline_plus_stable_rawdims,2,0.8237991725874707,0.42229767215778397,0.31888056140743826
Houston,baseline_plus_stable_rawdims,3,0.7594660676558364,0.5372409638838768,0.36601249979083095
Houston,baseline_plus_stable_rawdims,4,0.7859614344757142,0.4985009570362337,0.36492584250099325
Houston,baseline_plus_stable_rawdims,5,0.6644949552304434,0.571146169989355,0.35419399012333846
Houston,baseline_plus_pc1_to_pc7_plus_stable_rawdims,1,0.7524978748998956,0.41401994093417044,0.3060401026770609
Houston,baseline_plus_pc1_to_pc7_plus_stable_rawdims,2,0.8528630717495835,0.3859006928305267,0.2865388965278137
Houston,baseline_plus_pc1_to_pc7_plus_stable_rawdims,3,0.7711748877740922,0.5240018085918062,0.36373455713740704
Houston,baseline_plus_pc1_to_pc7_plus_stable_rawdims,4,0.7991307871862607,0.48292164284218,0.362043400181392
Houston,baseline_plus_pc1_to_pc7_plus_stable_rawdims,5,0.71070553520029,0.5303563872251931,0.3252002016369121
Phoenix,baseline_factors_only,1,0.0572201014778001,0.9725392348497891,0.7603292046076787
Phoenix,baseline_factors_only,2,0.3477636343657947,0.8723332940266658,0.7109587355983632
Phoenix,baseline_factors_only,3,0.23760828668126854,0.8497359369666254,0.6528743388528699
Phoenix,baseline_factors_only,4,0.11249133008319112,0.9125773860981369,0.7421938893720282
Phoenix,baseline_factors_only,5,0.12438931143852927,0.8822345449683332,0.727895752218166
Phoenix,baseline_plus_pc1_to_pc7,1,0.7436672310181012,0.5071121760744429,0.37971987700590454
Phoenix,baseline_plus_pc1_to_pc7,2,0.7268888045233617,0.5644814767760316,0.4591390373197225
Phoenix,baseline_plus_pc1_to_pc7,3,0.6022226911917898,0.6137830695699695,0.46493436332672083
Phoenix,baseline_plus_pc1_to_pc7,4,0.6610537792295298,0.5639606448523595,0.4545586675412106
Phoenix,baseline_plus_pc1_to_pc7,5,0.6089010882523491,0.5896194966472958,0.4765759461482893
Phoenix,baseline_plus_stable_rawdims,1,0.8160480168220454,0.42959004722313326,0.3080543616446558
Phoenix,baseline_plus_stable_rawdims,2,0.741039631534617,0.5496631164075352,0.4388649193807551
Phoenix,baseline_plus_stable_rawdims,3,0.624647553466348,0.5962309656711156,0.4792528790085036
Phoenix,baseline_plus_stable_rawdims,4,0.7417116337804385,0.49230678704815306,0.40110533172754786
Phoenix,baseline_plus_stable_rawdims,5,0.682340327440802,0.5313853462023991,0.4285673736310418
Phoenix,baseline_plus_pc1_to_pc7_plus_stable_rawdims,1,0.839843379945676,0.40084310844777227,0.293517365045243
Phoenix,baseline_plus_pc1_to_pc7_plus_stable_rawdims,2,0.7236201249732325,0.5678493744899984,0.4435043128022888
Phoenix,baseline_plus_pc1_to_pc7_plus_stable_rawdims,3,0.6657684499671048,0.5626244789257515,0.4383330199683347
Phoenix,baseline_plus_pc1_to_pc7_plus_stable_rawdims,4,0.7288483245742761,0.5044168045964882,0.4121859972298468
Phoenix,baseline_plus_pc1_to_pc7_plus_stable_rawdims,5,0.6976558836654956,0.5184170694510062,0.41113034477368343
