city,raw_dim,best_observable_var,spearman_r,abs_spearman_r,n
Houston,A16,lst_c,0.6966958727876222,0.6966958727876222,654
Houston,A07,lst_c,-0.684400409386899,0.684400409386899,654
Houston,A51,lst_c,0.6680924138479848,0.6680924138479848,654
Houston,A56,ALAND,-0.6217144937140364,0.6217144937140364,654
Phoenix,A59,hi_minus_lst,0.6268421444412418,0.6268421444412418,332
Phoenix,A58,median_household_income_clean,-0.5931806543109773,0.5931806543109773,368
Phoenix,A62,ALAND,0.5699619984636594,0.5699619984636594,373
Phoenix,A40,ALAND,0.545016813263401,0.545016813263401,373
