city,model,n_model_rows,n_features,cv_r2_mean,cv_rmse_mean,cv_mae_mean,delta_r2_vs_baseline,delta_rmse_vs_baseline,delta_mae_vs_baseline
Houston,baseline_factors_only,541,5,0.4029978016461593,0.760450639154775,0.5568917938768583,0.0,0.0,0.0
Houston,baseline_plus_pc1_to_pc7,541,12,0.7832984998329356,0.4599887305494292,0.32884060901320844,0.38030069818677636,-0.3004619086053458,-0.22805118486364984
Houston,baseline_plus_stable_rawdims,541,20,0.7544063957972854,0.4909813513013546,0.3439202055800924,0.35140859415112613,-0.26946928785342034,-0.21297158829676588
Houston,baseline_plus_pc1_to_pc7_plus_stable_rawdims,541,27,0.7772744313620243,0.4674400944847753,0.3287114316321172,0.37427662971586506,-0.29301054466999965,-0.2281803622447411
Phoenix,baseline_factors_only,329,5,0.17589453280931674,0.8978840793819101,0.7188503841298213,0.0,0.0,0.0
Phoenix,baseline_plus_pc1_to_pc7,329,12,0.6685467188430263,0.5677913727840199,0.44698557826836954,0.4926521860337095,-0.33009270659789014,-0.27186480586145173
Phoenix,baseline_plus_stable_rawdims,329,21,0.7211574326088501,0.5198352525104672,0.41116897307850087,0.5452628997995334,-0.3780488268714428,-0.3076814110513204
Phoenix,baseline_plus_pc1_to_pc7_plus_stable_rawdims,329,28,0.731147232625157,0.5108301671822033,0.3997342079638793,0.5552526998158402,-0.38705391219970675,-0.31911617616594196
