GEOID,PC1,PC2,PC3,PC4,PC5
04013117200,1.374398612333316,-4.2052327868089465,5.010405364840091,1.232304098131132,0.6872591754150557
04013082016,7.566254069566365,-7.824365961723182,-2.5424953368557466,-1.0411727990699,-0.9694415536948142
04013104402,-1.9841269064829663,-5.16028418532935,3.5589489947879605,-0.7065445761176,2.4435636301827914
04013104701,-2.385457117828588,1.1137134906562745,1.8542772820106714,0.5109541873543171,-0.27810736471878283
04013104702,-2.677274626339692,3.445551460486767,1.8741323730936277,0.7444939200601203,0.010834752827648272
04013112512,-1.2456602793189409,-6.252080258222545,5.829764805307705,-0.706658830832848,-0.7157707295370733
04013104218,-0.11281341147931342,-3.793519831762366,-6.420177676029699,1.7588852409726488,-0.7577961485364468
04013104225,-2.2378737564569153,-0.3611682303550136,-3.860476904554891,0.4202288803117983,-0.4174239182821178
04013104219,2.757093348751158,-1.2638208762253313,-0.1090212305370043,-0.8102910462764363,-0.5266354743408705
04013104801,6.342964663752584,3.994213795039755,1.5483763570732767,4.379820664781615,4.370722394709327
04013104802,-2.6128455125178296,3.228979149650466,-0.04763093595621334,-0.7731500011290076,0.1586877902027717
04013104900,-2.567636425373377,3.1629168344161056,0.5066010228669287,-2.4142549695492934,-0.1000870019117502
04013105102,11.566159381566868,4.738348795468289,2.0241232718087185,6.608310985103496,7.478423386531182
04013115801,-1.2281913917280216,-0.4109124246784492,0.7833471672013039,1.5003201983539323,-1.5297580800724875
04013082017,3.5621063335438232,-6.234723316247836,-2.1685340773434145,1.4441835531868998,-0.12113808796533852
04013107102,-3.311568257331783,1.2909199677905836,1.7421067772661971,0.2176850780077104,-0.980217666480878
04013107201,-2.9216414831799615,-6.346837534714234,0.7049695590260722,2.4053132702036106,1.959441959586181
04013107500,-5.24653540130976,-1.802398302795624,-3.699682315966416,-2.310981032879363,3.7312149130568337
04013107700,-3.961435994962523,-0.7310598216639992,-3.8515269692433387,-1.642650056722498,3.5561003977869583
04013107800,-2.167501204602611,-4.144258982151817,-6.764790705230456,0.11479123623163819,4.074916925675684
04013111100,-3.73613982591041,0.2668418316761951,-6.495798739081155,-0.7829424559689079,5.928938707179929
04013111201,-1.902018986327878,-1.6141616041023172,-2.013086283133782,1.0321512558503771,0.11097504244709915
04013111202,0.36183963515543754,-4.873526469532947,2.4882902968460776,1.2299796882256144,-0.740015526570628
04013082205,0.03502817318640315,-3.223893027556121,-1.010984185120671,1.728314532598923,-2.502625464217181
04013104401,-2.724222809123332,-2.40249265496078,2.122399216032491,-1.1090681037412966,1.058037739853007
04013105503,-2.702637022704742,-3.8413120793408644,3.0262673422624675,-0.3253970823176184,0.12566773023896716
04013109702,-2.590889481921659,4.960600204603617,0.3832214720862876,0.5698081160213383,-2.2601992851649695
04013109801,-2.0574241818712777,2.0041915292730272,0.16619765002673495,0.2351402054141482,-1.095338997302861
04013109704,-2.839022719650355,5.7413887909718175,0.07870480918091145,-0.10437943586526267,-1.791039222038121
04013109705,-3.1531223218700606,4.2758832244462575,1.0360030932061466,-0.4958880178840252,-1.577245668856007
04013109900,-1.7965295335261642,-0.6288663295158743,-1.130637379117404,-0.3753010306745716,-0.1754153556683813
04013106801,-2.8966294070724423,-2.2268821282128926,3.707595378057215,0.1375555120604718,1.230321121977494
04013109101,-2.130472992033249,-0.18224239797709582,-2.5431053517854587,1.6627286264803094,1.0735344030990697
04013106001,-2.819144837517695,0.31925604162840704,-0.5300081438931926,-0.6784822085334434,1.755754945374164
04013108302,-5.860971876638203,2.07554259098378,-2.2128092998229874,-1.1812937398807097,3.3740353405673846
04013082018,-1.5071455559406948,0.11331146316346785,-1.993436278532364,1.6521925319530417,-2.6262502621064354
04013616500,-1.6816281641664101,-1.4189670908806487,0.6973367832199664,-0.0057958982483723755,0.020494645255947092
04013618700,-1.160966710517517,3.0696366905770676,0.37691995114646887,0.487267783864935,-2.0450969260305274
04013116730,12.421227686467242,2.939586496748204,3.054777297147729,3.595415426249263,3.7379205804954525
04013116733,16.454849406553773,3.5691518793346737,4.041714567676718,7.777136583125665,8.716346025139014
04013616300,2.8301979668162907,-2.405758846681053,-3.658215079681172,0.9305794045358131,-2.4168708461118413
04013610600,12.74344571201623,4.679812149492589,1.0435137021910044,-2.3030435106017952,1.9105005479298383
04013111900,-1.2099308846367172,-2.47932816119131,-7.776521725314849,0.7020765079748696,5.1056872865825875
04013617100,5.057147297362634,-0.29150653852903013,-2.1176062696014313,-3.7307344525595574,-3.231801737003056
04013614700,5.2179787157389885,-3.1779155037525153,4.875320077929791,-2.889837616766319,0.37215655693213895
04013614800,-0.2656865132015674,0.004165121710361878,0.27990235503081284,-0.694006707021532,-1.4348034695269551
