city,raw_dim,best_observable_var_candidate,spearman_r,abs_spearman_r,n
Houston,A02,lst_c,0.26201668842548953,0.26201668842548953,654
Houston,A02,hi_c,-0.011197051241450274,0.011197051241450274,549
Houston,A02,hi_minus_lst,-0.30140401260420413,0.30140401260420413,549
Houston,A02,median_household_income_clean,-0.2873549884587593,0.2873549884587593,645
Houston,A02,poverty_rate,0.22798221176331837,0.22798221176331837,651
Houston,A02,ALAND,-0.11541533862416103,0.11541533862416103,654
Houston,A02,AWATER,-0.24766101197658572,0.24766101197658572,654
Houston,A04,lst_c,-0.11562588781198833,0.11562588781198833,654
Houston,A04,hi_c,-0.13459763002352376,0.13459763002352376,549
Houston,A04,hi_minus_lst,0.08034788473462641,0.08034788473462641,549
Houston,A04,median_household_income_clean,0.19333190690937355,0.19333190690937355,645
Houston,A04,poverty_rate,-0.116375349487753,0.116375349487753,651
Houston,A04,ALAND,-0.09787424898277995,0.09787424898277995,654
Houston,A04,AWATER,-0.14129163008350754,0.14129163008350754,654
Houston,A07,lst_c,-0.684400409386899,0.684400409386899,654
Houston,A07,hi_c,-0.08450290458373445,0.08450290458373445,549
Houston,A07,hi_minus_lst,0.6379881137569304,0.6379881137569304,549
Houston,A07,median_household_income_clean,0.08211019042492515,0.08211019042492515,645
Houston,A07,poverty_rate,-0.08576722285606526,0.08576722285606526,651
Houston,A07,ALAND,0.6444885543372307,0.6444885543372307,654
Houston,A07,AWATER,0.532106712045577,0.532106712045577,654
Houston,A16,lst_c,0.6966958727876222,0.6966958727876222,654
Houston,A16,hi_c,0.14127268261832673,0.14127268261832673,549
Houston,A16,hi_minus_lst,-0.6605488412907344,0.6605488412907344,549
Houston,A16,median_household_income_clean,0.03505192826502359,0.03505192826502359,645
Houston,A16,poverty_rate,0.025796231410618087,0.025796231410618087,651
Houston,A16,ALAND,-0.6545136643012416,0.6545136643012416,654
Houston,A16,AWATER,-0.42556099218627436,0.42556099218627436,654
Houston,A17,lst_c,0.3978309100836352,0.3978309100836352,654
Houston,A17,hi_c,0.18772315183225222,0.18772315183225222,549
Houston,A17,hi_minus_lst,-0.40549211149426545,0.40549211149426545,549
Houston,A17,median_household_income_clean,-0.14560534670634329,0.14560534670634329,645
Houston,A17,poverty_rate,0.13917512343554486,0.13917512343554486,651
Houston,A17,ALAND,-0.4041331860890392,0.4041331860890392,654
Houston,A17,AWATER,-0.4399132403486916,0.4399132403486916,654
Houston,A22,lst_c,-0.18020447251862282,0.18020447251862282,654
Houston,A22,hi_c,0.1317567288026152,0.1317567288026152,549
Houston,A22,hi_minus_lst,0.21617783676177837,0.21617783676177837,549
Houston,A22,median_household_income_clean,0.32766477751578943,0.32766477751578943,645
Houston,A22,poverty_rate,-0.3102055925956553,0.3102055925956553,651
Houston,A22,ALAND,-0.1366509487636831,0.1366509487636831,654
Houston,A22,AWATER,-0.18011490927015242,0.18011490927015242,654
Houston,A25,lst_c,-0.2808945165943154,0.2808945165943154,654
Houston,A25,hi_c,-0.02828597847733503,0.02828597847733503,549
Houston,A25,hi_minus_lst,0.22454824661597428,0.22454824661597428,549
Houston,A25,median_household_income_clean,0.05246220134844719,0.05246220134844719,645
Houston,A25,poverty_rate,-0.037447236760546454,0.037447236760546454,651
Houston,A25,ALAND,0.09851413318930648,0.09851413318930648,654
Houston,A25,AWATER,-0.08676467639062119,0.08676467639062119,654
Houston,A28,lst_c,-0.4043016082796281,0.4043016082796281,654
Houston,A28,hi_c,-0.05751754244384807,0.05751754244384807,549
Houston,A28,hi_minus_lst,0.4490708932087418,0.4490708932087418,549
Houston,A28,median_household_income_clean,0.35521304336756193,0.35521304336756193,645
Houston,A28,poverty_rate,-0.30717829717862327,0.30717829717862327,651
Houston,A28,ALAND,0.10488384670963806,0.10488384670963806,654
Houston,A28,AWATER,0.13801907012036463,0.13801907012036463,654
Houston,A31,lst_c,0.005606687210370191,0.005606687210370191,654
Houston,A31,hi_c,-0.008102520200005466,0.008102520200005466,549
Houston,A31,hi_minus_lst,0.029582386023692717,0.029582386023692717,549
Houston,A31,median_household_income_clean,0.20449278385468186,0.20449278385468186,645
Houston,A31,poverty_rate,-0.16036610436477114,0.16036610436477114,651
Houston,A31,ALAND,0.0803843380661499,0.0803843380661499,654
Houston,A31,AWATER,0.19453399916397454,0.19453399916397454,654
Houston,A32,lst_c,0.26387688277809107,0.26387688277809107,654
Houston,A32,hi_c,-0.025384360255237288,0.025384360255237288,549
Houston,A32,hi_minus_lst,-0.23850163716862297,0.23850163716862297,549
Houston,A32,median_household_income_clean,-0.25063810634639216,0.25063810634639216,645
Houston,A32,poverty_rate,0.19230930998707393,0.19230930998707393,651
Houston,A32,ALAND,0.07537023871357364,0.07537023871357364,654
Houston,A32,AWATER,0.15599986941618715,0.15599986941618715,654
Houston,A34,lst_c,0.49208084308047445,0.49208084308047445,654
Houston,A34,hi_c,0.15805962457763845,0.15805962457763845,549
Houston,A34,hi_minus_lst,-0.46679017046134436,0.46679017046134436,549
Houston,A34,median_household_income_clean,0.19410829357470796,0.19410829357470796,645
Houston,A34,poverty_rate,-0.10581898277463221,0.10581898277463221,651
Houston,A34,ALAND,-0.604107939920124,0.604107939920124,654
Houston,A34,AWATER,-0.45665766606085867,0.45665766606085867,654
Houston,A42,lst_c,-0.6024195138943481,0.6024195138943481,654
Houston,A42,hi_c,-0.1440991862748815,0.1440991862748815,549
Houston,A42,hi_minus_lst,0.6004087301155628,0.6004087301155628,549
Houston,A42,median_household_income_clean,0.26723525515457575,0.26723525515457575,645
Houston,A42,poverty_rate,-0.23180055072497702,0.23180055072497702,651
Houston,A42,ALAND,0.2813581280598512,0.2813581280598512,654
Houston,A42,AWATER,0.08550024001927842,0.08550024001927842,654
Houston,A51,lst_c,0.6680924138479848,0.6680924138479848,654
Houston,A51,hi_c,0.007000015802364981,0.007000015802364981,549
Houston,A51,hi_minus_lst,-0.667814461474866,0.667814461474866,549
Houston,A51,median_household_income_clean,-0.17344143149585506,0.17344143149585506,645
Houston,A51,poverty_rate,0.17568852257014228,0.17568852257014228,651
Houston,A51,ALAND,-0.3815412753948414,0.3815412753948414,654
Houston,A51,AWATER,-0.17700967542960064,0.17700967542960064,654
Houston,A56,lst_c,0.43350308182364855,0.43350308182364855,654
Houston,A56,hi_c,0.15307839452858388,0.15307839452858388,549
Houston,A56,hi_minus_lst,-0.3806740130755926,0.3806740130755926,549
Houston,A56,median_household_income_clean,0.2546482970865874,0.2546482970865874,645
Houston,A56,poverty_rate,-0.18437177715650505,0.18437177715650505,651
Houston,A56,ALAND,-0.6217144937140364,0.6217144937140364,654
Houston,A56,AWATER,-0.46270015391050645,0.46270015391050645,654
Houston,A59,lst_c,-0.16431727506108576,0.16431727506108576,654
Houston,A59,hi_c,-0.028657224764246623,0.028657224764246623,549
Houston,A59,hi_minus_lst,0.10878726235672512,0.10878726235672512,549
Houston,A59,median_household_income_clean,0.015823713673285927,0.015823713673285927,645
Houston,A59,poverty_rate,-0.012507247897875842,0.012507247897875842,651
Houston,A59,ALAND,0.10782304130108074,0.10782304130108074,654
Houston,A59,AWATER,0.03788756498721268,0.03788756498721268,654
Phoenix,A01,lst_c,0.37062296713516873,0.37062296713516873,373
Phoenix,A01,hi_c,0.09237720553156223,0.09237720553156223,332
Phoenix,A01,hi_minus_lst,-0.3761576886463139,0.3761576886463139,332
Phoenix,A01,median_household_income_clean,0.24709017103234615,0.24709017103234615,368
Phoenix,A01,poverty_rate,-0.15510314074511036,0.15510314074511036,370
Phoenix,A01,ALAND,0.40006016794301935,0.40006016794301935,373
Phoenix,A01,AWATER,0.005541516758633323,0.005541516758633323,373
Phoenix,A03,lst_c,-0.35974209642502525,0.35974209642502525,373
Phoenix,A03,hi_c,-0.3261494190152677,0.3261494190152677,332
Phoenix,A03,hi_minus_lst,0.2482302853940462,0.2482302853940462,332
Phoenix,A03,median_household_income_clean,0.2767367728904012,0.2767367728904012,368
Phoenix,A03,poverty_rate,-0.30819102581642843,0.30819102581642843,370
Phoenix,A03,ALAND,-0.08096658112428495,0.08096658112428495,373
Phoenix,A03,AWATER,-0.03412375096197289,0.03412375096197289,373
Phoenix,A04,lst_c,0.11340107969315735,0.11340107969315735,373
Phoenix,A04,hi_c,-0.2488290924861246,0.2488290924861246,332
Phoenix,A04,hi_minus_lst,-0.2084274060396071,0.2084274060396071,332
Phoenix,A04,median_household_income_clean,0.2577935908184307,0.2577935908184307,368
Phoenix,A04,poverty_rate,-0.2081401498796805,0.2081401498796805,370
Phoenix,A04,ALAND,-0.09129918821836754,0.09129918821836754,373
Phoenix,A04,AWATER,-0.055793815242748984,0.055793815242748984,373
Phoenix,A09,lst_c,0.31417077613871647,0.31417077613871647,373
Phoenix,A09,hi_c,-0.01525098090030359,0.01525098090030359,332
Phoenix,A09,hi_minus_lst,-0.3598294541766314,0.3598294541766314,332
Phoenix,A09,median_household_income_clean,-0.3176746868071044,0.3176746868071044,368
Phoenix,A09,poverty_rate,0.2840835312993619,0.2840835312993619,370
Phoenix,A09,ALAND,-0.09971252580030068,0.09971252580030068,373
Phoenix,A09,AWATER,0.08474261420959912,0.08474261420959912,373
Phoenix,A19,lst_c,-0.15303515130549636,0.15303515130549636,373
Phoenix,A19,hi_c,0.2836223511613165,0.2836223511613165,332
Phoenix,A19,hi_minus_lst,0.23607191073430656,0.23607191073430656,332
Phoenix,A19,median_household_income_clean,0.113083119334968,0.113083119334968,368
Phoenix,A19,poverty_rate,-0.10826292731492915,0.10826292731492915,370
Phoenix,A19,ALAND,0.1606588135399608,0.1606588135399608,373
Phoenix,A19,AWATER,-0.007734108712437627,0.007734108712437627,373
Phoenix,A22,lst_c,-0.4712703853014478,0.4712703853014478,373
Phoenix,A22,hi_c,-0.16903478922462356,0.16903478922462356,332
Phoenix,A22,hi_minus_lst,0.45370507915552144,0.45370507915552144,332
Phoenix,A22,median_household_income_clean,0.4369847928775348,0.4369847928775348,368
Phoenix,A22,poverty_rate,-0.4157367149543864,0.4157367149543864,370
Phoenix,A22,ALAND,-0.014174845915031395,0.014174845915031395,373
Phoenix,A22,AWATER,-0.09633297819272157,0.09633297819272157,373
Phoenix,A26,lst_c,-0.3699357299074449,0.3699357299074449,373
Phoenix,A26,hi_c,-0.0009014223732261628,0.0009014223732261628,332
Phoenix,A26,hi_minus_lst,0.4008620421098127,0.4008620421098127,332
Phoenix,A26,median_household_income_clean,-0.024390967744964843,0.024390967744964843,368
Phoenix,A26,poverty_rate,-0.005651315637509839,0.005651315637509839,370
Phoenix,A26,ALAND,-0.015190671332726875,0.015190671332726875,373
Phoenix,A26,AWATER,0.2037162150557045,0.2037162150557045,373
Phoenix,A40,lst_c,-0.02432731915972068,0.02432731915972068,373
Phoenix,A40,hi_c,-0.12002554044700016,0.12002554044700016,332
Phoenix,A40,hi_minus_lst,-0.04957234014854224,0.04957234014854224,332
Phoenix,A40,median_household_income_clean,0.41929480979493855,0.41929480979493855,368
Phoenix,A40,poverty_rate,-0.36097099005520544,0.36097099005520544,370
Phoenix,A40,ALAND,0.545016813263401,0.545016813263401,373
Phoenix,A40,AWATER,0.1439441073239285,0.1439441073239285,373
Phoenix,A44,lst_c,0.4361317978560603,0.4361317978560603,373
Phoenix,A44,hi_c,-0.061743155744513334,0.061743155744513334,332
Phoenix,A44,hi_minus_lst,-0.4727580199134088,0.4727580199134088,332
Phoenix,A44,median_household_income_clean,-0.07729284457569464,0.07729284457569464,368
Phoenix,A44,poverty_rate,0.08848515861861467,0.08848515861861467,370
Phoenix,A44,ALAND,-0.13119710157930442,0.13119710157930442,373
Phoenix,A44,AWATER,-0.0751323343013113,0.0751323343013113,373
Phoenix,A47,lst_c,-0.22227777055803563,0.22227777055803563,373
Phoenix,A47,hi_c,0.19071317483504377,0.19071317483504377,332
Phoenix,A47,hi_minus_lst,0.33481685376272785,0.33481685376272785,332
Phoenix,A47,median_household_income_clean,-0.1646039369278159,0.1646039369278159,368
Phoenix,A47,poverty_rate,0.12557519718127172,0.12557519718127172,370
Phoenix,A47,ALAND,-0.13898679218843435,0.13898679218843435,373
Phoenix,A47,AWATER,-0.033704323542002194,0.033704323542002194,373
Phoenix,A52,lst_c,0.28244871966224555,0.28244871966224555,373
Phoenix,A52,hi_c,0.06784420607716998,0.06784420607716998,332
Phoenix,A52,hi_minus_lst,-0.29075000090178627,0.29075000090178627,332
Phoenix,A52,median_household_income_clean,0.2598952184059528,0.2598952184059528,368
Phoenix,A52,poverty_rate,-0.1818298872141486,0.1818298872141486,370
Phoenix,A52,ALAND,0.41241494514357746,0.41241494514357746,373
Phoenix,A52,AWATER,0.12664865441946901,0.12664865441946901,373
Phoenix,A58,lst_c,0.32990878613834185,0.32990878613834185,373
Phoenix,A58,hi_c,0.16300891225411368,0.16300891225411368,332
Phoenix,A58,hi_minus_lst,-0.29739206683843233,0.29739206683843233,332
Phoenix,A58,median_household_income_clean,-0.5931806543109773,0.5931806543109773,368
Phoenix,A58,poverty_rate,0.5451302726038115,0.5451302726038115,370
Phoenix,A58,ALAND,-0.3067253978553204,0.3067253978553204,373
Phoenix,A58,AWATER,-0.10904493670976638,0.10904493670976638,373
Phoenix,A59,lst_c,-0.5987549721798415,0.5987549721798415,373
Phoenix,A59,hi_c,-0.04099267590186115,0.04099267590186115,332
