city,baseline_r2,pc_only_r2,rawdim_only_r2,combined_r2,delta_pc_vs_baseline,delta_rawdim_vs_baseline,delta_combined_vs_baseline,delta_combined_vs_pc,best_model,recommendation,top_rawdim_pairs,pc_theme_message,pc1_pc4_summary,pc_linked_factors,n_selected_dims,n_shared_dims,n_city_unique_dims,shared_dims,city_unique_dims,transfer_best_model,transfer_best_r2,takeaway
Houston,0.403,0.7833,0.7544,0.7773,0.38029999999999997,0.35139999999999993,0.37429999999999997,-0.006000000000000005,baseline_plus_pc1_to_pc7,Stable raw dims capture similar signal to PCs and help interpretation,A16 ↔ lst_c (|r|=0.697); A07 ↔ lst_c (|r|=0.684),PC1 explains 33.2% (cum 33.2%). Theme: land/water structure + thermal pattern. Top factors: land area (0.597); LST (0.535); HI-LST gap (0.500). | PC2 explains 17.9% (cum 51.1%). Theme: thermal pattern + land/water structure. Top factors: LST (0.380); HI-LST gap (0.370); land area (0.181). | PC3 explains 9.1% (cum 60.2%). Theme: thermal pattern + land/water structure. Top factors: LST (0.319); HI-LST gap (0.309); land area (0.249). | PC4 explains 7.2% (cum 67.3%). Theme: thermal pattern + land/water structure. Top factors: LST (0.365); HI-LST gap (0.332); land area (0.293).,PC1: land/water structure + thermal pattern (33.2%) | PC2: thermal pattern + land/water structure (17.9%) | PC3: thermal pattern + land/water structure (9.1%) | PC4: thermal pattern + land/water structure (7.2%),PC1: land area (0.597); LST (0.535); HI-LST gap (0.500) ; PC2: LST (0.380); HI-LST gap (0.370); land area (0.181) ; PC3: LST (0.319); HI-LST gap (0.309); land area (0.249) ; PC4: LST (0.365); HI-LST gap (0.332); land area (0.293),15,3,12,"A04, A22, A59","A02, A07, A16, A17, A25, A28, A31, A32, A34, A42, A51, A56",baseline_plus_pc1_to_pc7,0.7848992912733053,Houston: PC-only and combined models are very close (combined - PC-only = -0.006); extra raw dims add limited gain.
Phoenix,0.1759,0.6685,0.7212,0.7311,0.4926,0.5452999999999999,0.5551999999999999,0.06259999999999999,baseline_plus_pc1_to_pc7_plus_stable_rawdims,Stable raw dims add useful information beyond PCs,A59 ↔ hi_minus_lst (|r|=0.627); A58 ↔ median_household_income_clean (|r|=0.593),PC1 explains 32.8% (cum 32.8%). Theme: socioeconomic gradient + land/water structure. Top factors: land area (0.459); median income (0.288); poverty rate (0.228). | PC2 explains 16.3% (cum 49.1%). Theme: thermal pattern + socioeconomic gradient. Top factors: median income (0.206); HI-LST gap (0.196); HI (0.191). | PC3 explains 13.7% (cum 62.8%). Theme: thermal pattern + socioeconomic gradient. Top factors: HI-LST gap (0.405); LST (0.397); median income (0.354). | PC4 explains 7.6% (cum 70.4%). Theme: thermal pattern + socioeconomic gradient. Top factors: HI-LST gap (0.267); LST (0.242); HI (0.206).,PC1: socioeconomic gradient + land/water structure (32.8%) | PC2: thermal pattern + socioeconomic gradient (16.3%) | PC3: thermal pattern + socioeconomic gradient (13.7%) | PC4: thermal pattern + socioeconomic gradient (7.6%),PC1: land area (0.459); median income (0.288); poverty rate (0.228) ; PC2: median income (0.206); HI-LST gap (0.196); HI (0.191) ; PC3: HI-LST gap (0.405); LST (0.397); median income (0.354) ; PC4: HI-LST gap (0.267); LST (0.242); HI (0.206),16,3,13,"A04, A22, A59","A01, A03, A09, A19, A26, A40, A44, A47, A52, A58, A61, A62, A63",baseline_plus_pc1_to_pc7_plus_own_city_stable_dims,0.7310887552221701,Phoenix: stable raw dims add meaningful value beyond PC1–PC7 (combined - PC-only = 0.063).
