city,model,n_rows,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,note
Houston,baseline,541,5,0.39804537805303825,0.13979578173309942,2.14049517312185,0.18430367569389844,1.5666969705607108,0.08974213812324561,
Houston,baseline_plus_pc1_to_pc7,541,12,0.7848992912733052,0.0654369868324704,1.2831614664864976,0.1979072868534173,0.921732811203466,0.07964791731693939,
Houston,baseline_plus_shared_dims_only,541,8,0.6163564098547993,0.07446038905311038,1.7167107726568154,0.1420391854406666,1.269981626285982,0.04701835350707283,
Houston,baseline_plus_other_city_stable_dims,541,5,0.39804537805303813,0.1397957817330995,2.14049517312185,0.1843036756938986,1.5666969705607108,0.0897421381232453,
Phoenix,baseline,329,5,0.1795343402585407,0.11062895478095033,1.5036567469890483,0.08187652644625469,1.205078763892181,0.06943199501804188,
Phoenix,baseline_plus_pc1_to_pc7,329,12,0.6676631925706256,0.05788287194472488,0.9546435842487094,0.06052272440153292,0.7475651653620419,0.05808093564550413,
Phoenix,baseline_plus_shared_dims_only,329,8,0.6082831732720326,0.07365948660068042,1.0360949238117407,0.08054242850097507,0.826975123706438,0.08578662164357893,
Phoenix,baseline_plus_other_city_stable_dims,329,5,0.17953434025854081,0.11062895478095025,1.5036567469890483,0.08187652644625484,1.2050787638921807,0.06943199501804186,
