GEOID,NAME,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate
32003001803,Census Tract 18.03; Clark County; Nevada,2871,59583.0,412,2862,0.14395527603074773
32003001804,Census Tract 18.04; Clark County; Nevada,3519,50238.0,459,3519,0.13043478260869565
32003001901,Census Tract 19.01; Clark County; Nevada,4526,43732.0,1115,4466,0.2496641289744738
32003001902,Census Tract 19.02; Clark County; Nevada,4402,53974.0,1072,4370,0.24530892448512587
32003002000,Census Tract 20; Clark County; Nevada,5085,46875.0,1402,5085,0.27571288102261554
32003002201,Census Tract 22.01; Clark County; Nevada,4741,41364.0,1014,4741,0.21387892849609788
32003002203,Census Tract 22.03; Clark County; Nevada,5020,52575.0,1418,5020,0.28247011952191237
32003002204,Census Tract 22.04; Clark County; Nevada,4495,45225.0,1547,4495,0.3441601779755284
32003002206,Census Tract 22.06; Clark County; Nevada,3587,39661.0,1251,3520,0.3553977272727273
32003002207,Census Tract 22.07; Clark County; Nevada,3826,42639.0,1316,3826,0.3439623627809723
32003002302,Census Tract 23.02; Clark County; Nevada,577,92632.0,116,577,0.20103986135181975
32003002303,Census Tract 23.03; Clark County; Nevada,769,82750.0,154,769,0.20026007802340703
32003002403,Census Tract 24.03; Clark County; Nevada,3106,36910.0,774,3106,0.24919510624597555
32003002404,Census Tract 24.04; Clark County; Nevada,5078,29696.0,1772,5055,0.35054401582591493
32003002405,Census Tract 24.05; Clark County; Nevada,3184,35291.0,886,3184,0.27826633165829145
32003002406,Census Tract 24.06; Clark County; Nevada,3455,42020.0,943,3455,0.27293777134587555
32003002501,Census Tract 25.01; Clark County; Nevada,6349,55717.0,1335,6349,0.21026933375334697
32003002504,Census Tract 25.04; Clark County; Nevada,4518,39512.0,1309,4394,0.29790623577605824
32003002505,Census Tract 25.05; Clark County; Nevada,2359,47424.0,262,2359,0.11106401017380246
32003002506,Census Tract 25.06; Clark County; Nevada,3939,46474.0,749,3870,0.19354005167958657
32003002603,Census Tract 26.03; Clark County; Nevada,3902,36314.0,671,2436,0.2754515599343186
32003002604,Census Tract 26.04; Clark County; Nevada,1945,32163.0,450,1945,0.23136246786632392
32003002605,Census Tract 26.05; Clark County; Nevada,407,23039.0,145,407,0.35626535626535627
32003002706,Census Tract 27.06; Clark County; Nevada,3677,35594.0,897,3664,0.24481441048034935
32003002707,Census Tract 27.07; Clark County; Nevada,4310,72470.0,648,4310,0.15034802784222737
32003002708,Census Tract 27.08; Clark County; Nevada,3017,53929.0,507,2985,0.16984924623115577
32003002808,Census Tract 28.08; Clark County; Nevada,2036,84750.0,290,2027,0.14306857424765665
32003002810,Census Tract 28.10; Clark County; Nevada,3891,63562.0,534,3891,0.13723978411719354
32003002811,Census Tract 28.11; Clark County; Nevada,4429,112750.0,126,4429,0.028448859787762473
32003002814,Census Tract 28.14; Clark County; Nevada,5121,87083.0,480,5046,0.09512485136741974
32003002821,Census Tract 28.21; Clark County; Nevada,5378,46009.0,945,5378,0.1757158795091112
32003002822,Census Tract 28.22; Clark County; Nevada,3447,66250.0,444,3423,0.12971078001752848
32003002823,Census Tract 28.23; Clark County; Nevada,3990,58519.0,758,3980,0.19045226130653267
