GEOID,city,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,ALAND,AWATER,area_km2,total_population_clean,median_household_income_clean,below_poverty_count,poverty_universe,poverty_rate,heat_source_file,notes,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,heat_merge_status,analysis_ready
32003002506,las_vegas,32,3,2506,25.06,Census Tract 25.06,647391,0,0.6473219879297979,3939,46474.0,749,3870,0.1935400516795865,,,47.332491496598685,,,,,False,missing,False
32003002706,las_vegas,32,3,2706,27.06,Census Tract 27.06,653629,0,0.6535640101540229,3677,35594.0,897,3664,0.2448144104803493,,,48.004975124378134,,,,,False,missing,False
32003002204,las_vegas,32,3,2204,22.04,Census Tract 22.04,672065,0,0.6719650185754618,4495,45225.0,1547,4495,0.3441601779755284,,,47.84953996983413,,,,,False,missing,False
32003000600,las_vegas,32,3,600,6.0,Census Tract 6,640656,0,0.6405910549310458,2857,31587.0,582,2847,0.2044257112750263,,,47.74463333333336,,,,,False,missing,False
32003006202,las_vegas,32,3,6202,62.02,Census Tract 62.02,1170521,0,1.170484794577112,4780,64359.0,913,4780,0.1910041841004184,,,48.47106018518521,,,,,False,missing,False
32003002845,las_vegas,32,3,2845,28.45,Census Tract 28.45,925441,0,0.9253508450012696,7464,67302.0,1293,7464,0.1732315112540192,,,46.67616613418533,,,,,False,missing,False
32003001707,las_vegas,32,3,1707,17.07,Census Tract 17.07,985867,0,0.9857789896626096,1744,66563.0,184,1732,0.1062355658198614,,,46.93365248226953,,,,,False,missing,False
32003003215,las_vegas,32,3,3215,32.15,Census Tract 32.15,1392499,0,1.392211847339856,4320,87889.0,89,4304,0.02067843866171,,,45.047319665907395,,,,,False,missing,False
32003000519,las_vegas,32,3,519,5.19,Census Tract 5.19,1330621,0,1.3305422812237857,4667,46985.0,715,4649,0.1537965153796515,,,49.024038961039,,,,,False,missing,False
32003002303,las_vegas,32,3,2303,23.03,Census Tract 23.03,375318,0,0.3752723732798517,769,82750.0,154,769,0.200260078023407,,,47.10644000000002,,,,,False,missing,False
32003003315,las_vegas,32,3,3315,33.15,Census Tract 33.15,1006209,0,1.0059899433551982,3269,96906.0,286,3248,0.0880541871921182,,,46.0404179728318,,,,,False,missing,False
32003000518,las_vegas,32,3,518,5.18,Census Tract 5.18,1829769,0,1.8296350199316989,5433,46372.0,1294,5393,0.2399406638234748,,,48.60381619937696,,,,,False,missing,False
32003003419,las_vegas,32,3,3419,34.19,Census Tract 34.19,1513418,0,1.5131481239687905,5578,44861.0,1619,5459,0.2965744641875801,,,47.03847307430132,,,,,False,missing,False
32003003420,las_vegas,32,3,3420,34.2,Census Tract 34.20,1307968,0,1.30775331049735,4711,62714.0,679,4676,0.1452095808383233,,,47.98704579579582,,,,,False,missing,False
32003005870,las_vegas,32,3,5870,58.7,Census Tract 58.70,689587,0,0.6894319886596204,4135,104375.0,695,4135,0.1680773881499395,,,46.55587087087089,,,,,False,missing,False
32003005106,las_vegas,32,3,5106,51.06,Census Tract 51.06,792160,0,0.7921112576890206,3321,75135.0,220,3321,0.0662451068955134,,,46.82585774058579,,,,,False,missing,False
32003002964,las_vegas,32,3,2964,29.64,Census Tract 29.64,611573,0,0.611470651920102,4069,44835.0,734,4058,0.1808772794480039,,,47.24155677655681,,,,,False,missing,False
