GEOID,lst_c
32003002954,47.63033681765392
32003004709,48.71075348075352
32003002915,45.333606434717574
32003002916,46.128563790560506
32003002919,46.16793430068524
32003002935,47.2018959731544
32003004500,48.115140692640715
32003002206,47.69081680830976
32003005013,47.55249260355033
32003002996,47.68831262939961
32003002207,47.43020325203257
32003004302,48.436970238095256
32003002605,46.61349246231159
32003004402,47.89833333333335
32003004301,48.36596491228073
32003003658,46.92673491379315
32003003247,45.16464259664482
32003005905,48.59659665300549
32003005434,48.70746538541024
32003005439,49.00364555848728
32003005615,47.84577235772362
32003001501,48.63655105973027
32003002848,47.16643828960158
32003000521,48.21226512226516
32003000523,48.71345878136204
32003000403,47.53645933014357
32003001401,48.410212560386505
32003001502,48.55967517401394
32003000525,48.33654490106549
32003000524,48.4023557692308
32003003253,45.0289636752137
32003003260,45.99581300813012
32003003261,45.591216856060626
32003003104,46.988451935081194
32003003228,46.17993243243247
32003003249,44.80705689277902
32003003251,44.69900690846289
32003003241,45.46863564041371
32003003244,45.67573742540498
32003003235,46.157187650747744
32003003309,45.821167479674834
32003003311,46.75193886097154
32003003103,47.296224489795954
32003003220,44.68633193130041
32003003305,45.96984519104087
32003003500,48.097325349301435
32003004924,49.02774107820808
32003005006,48.541260346124936
32003005010,48.667479908151584
32003004923,48.3818163054696
32003005107,46.89699453551916
32003004921,49.30581927710845
32003005108,47.13778640059129
32003005200,49.47106622516559
32003005311,47.03682456140355
32003005312,47.15255482456143
32003002974,45.72942834681044
32003002975,45.84068985307624
32003005351,46.45691823899375
32003005350,47.06192372881358
32003004925,48.41835397316825
32003005607,48.08658980582528
32003005871,46.405535976505156
32003003645,47.1861433172303
32003003263,46.05513917884485
32003003269,45.18915654520921
32003005719,47.54040048968175
32003003648,48.23962387571549
32003005872,39.91986734312887
32003003654,46.80723404255322
32003003652,47.481581300813026
32003005859,46.06110132158594
32003002852,46.710086100861034
32003005111,48.14909516380657
32003005116,47.60542884990257
32003003646,47.42164781297137
32003003655,46.75320998796632
32003005722,46.010201525054505
32003003270,44.440973389355776
32003003665,46.13714043993234
32003003664,46.15149855907786
32003005718,46.91748015873019
32003003663,46.74327243589747
32003003660,46.618914198937006
32003005877,45.53560100367228
32003003653,47.47290556900729
32003003265,46.06733227680933
32003003266,45.615816486972186
32003003647,47.57631162369972
32003003659,48.484751950947626
32003005442,49.50623306997744
32003003264,46.0438412698413
32003003662,46.81018830128208
32003002944,45.57729747675967
32003002946,47.615653477218245
32003002961,46.04051005747129
32003005864,45.89784008796737
32003005366,47.47966350947163
32003007801,48.24737295434973
32003003323,46.222090680100784
32003003621,46.63516953573295
32003003619,46.69191729323311
32003000520,48.00168439716315
32003000522,48.7250083752094
32003002824,47.806992982456165
32003002833,46.889375461936474
32003002834,47.062715404699766
32003002956,47.070192616372424
32003002830,46.98079787234046
32003002957,45.2033426547353
32003002958,45.985840840840865
32003002822,48.516997690531205
32003002947,46.45133202742413
32003002949,46.52145510835917
32003002948,47.06122088353416
32003003001,47.848249042145625
32003003003,46.473447185325774
32003002835,46.68025043177896
32003002836,46.90833333333336
32003002950,45.81080040526853
32003002952,45.6916543438078
32003002953,45.6941302367942
32003003004,46.56067521367525
32003002905,46.81239455020533
32003003005,46.65202651515155
32003003006,46.817989949748764
32003003102,47.349877394636046
32003003204,46.14427516473532
32003003211,44.976009861932965
32003003213,44.73230930930934
32003003214,44.68112251882275
32003004601,47.7908897243108
32003005014,49.09468617472437
32003005354,47.41874800637962
32003005360,49.052114635503656
32003004707,48.80781710914457
32003002939,45.71663640032286
32003002941,46.005994215473635
32003002942,46.56208730158734
32003005015,48.30810240048621
32003003637,47.22080631753949
32003003643,47.111284335560526
32003003627,47.505645390070946
32003001613,48.20387578616355
32003003313,46.78612105711853
