GEOID,air_temp_c,rh_pct,hi_c
32003000101,33.42948115252051,17.1863708372268,31.510069507602882
32003000103,,,
32003000105,33.21770261313009,17.326630442889865,31.31389226619981
32003000106,32.540011287080745,17.775461181011654,30.68612509371
32003000107,,,
32003000108,32.540011287080745,17.775461181011654,30.68612509371
32003000109,,,
32003000201,33.556548276154764,17.102215073828965,31.627775852444717
32003000203,33.556548276154764,17.102215073828965,31.627775852444717
32003000204,33.556548276154764,17.102215073828965,31.627775852444717
32003000301,33.556548276154764,17.102215073828965,31.627775852444717
32003000302,33.556548276154764,17.102215073828965,31.627775852444717
32003000401,33.556548276154764,17.102215073828965,31.627775852444717
32003000402,33.556548276154764,17.102215073828965,31.627775852444717
32003000403,33.556548276154764,17.102215073828965,31.627775852444717
32003000510,33.556548276154764,17.102215073828965,31.627775852444717
32003000513,34.04999363111408,16.763361193592534,32.08101575859078
32003000514,,,
32003000515,,,
32003000516,33.97950143754846,16.811768890769166,32.016267200569914
32003000517,34.04999363111408,16.763361193592534,32.08101575859078
32003000518,,,
32003000519,,,
32003000520,33.556548276154764,17.102215073828965,31.627775852444717
32003000521,,,
32003000522,33.556548276154764,17.102215073828965,31.627775852444717
32003000523,,,
32003000524,,,
32003000525,33.556548276154764,17.102215073828965,31.627775852444717
32003000526,33.556548276154764,17.102215073828965,31.627775852444717
32003000527,34.04999363111408,16.763361193592534,32.08101575859078
32003000528,,,
32003000600,,,
32003000700,33.556548276154764,17.102215073828965,31.627775852444717
32003001003,32.540011287080745,17.775461181011654,30.68612509371
32003001004,33.21770261313009,17.326630442889865,31.31389226619981
32003001005,33.556548276154764,17.102215073828965,31.627775852444717
32003001006,33.556548276154764,17.102215073828965,31.627775852444717
32003001100,33.556548276154764,17.102215073828965,31.627775852444717
32003001200,33.556548276154764,17.102215073828965,31.627775852444717
32003001300,33.556548276154764,17.102215073828965,31.627775852444717
32003001401,33.556548276154764,17.102215073828965,31.627775852444717
32003001402,,,
32003001501,33.556548276154764,17.102215073828965,31.627775852444717
32003001502,34.04999363111408,16.763361193592534,32.08101575859078
32003001607,34.04999363111408,16.763361193592534,32.08101575859078
32003001608,34.04999363111408,16.763361193592534,32.08101575859078
32003001609,34.04999363111408,16.763361193592534,32.08101575859078
32003001610,34.04999363111408,16.763361193592534,32.08101575859078
32003001611,34.04999363111408,16.763361193592534,32.08101575859078
32003001613,34.04999363111408,16.763361193592534,32.08101575859078
32003001614,,,
32003001615,34.04999363111408,16.763361193592534,32.08101575859078
32003001706,33.67990961489459,17.01750160376986,31.741085828981234
32003001707,,,
32003001708,,,
32003001709,34.04999363111408,16.763361193592534,32.08101575859078
32003001710,34.04999363111408,16.763361193592534,32.08101575859078
32003001711,33.556548276154764,17.102215073828965,31.627775852444717
32003001712,33.556548276154764,17.102215073828965,31.627775852444717
32003001713,34.04999363111408,16.763361193592534,32.08101575859078
32003001714,34.04999363111408,16.763361193592534,32.08101575859078
32003001715,34.04999363111408,16.763361193592534,32.08101575859078
32003001716,,,
32003001717,34.04999363111408,16.763361193592534,32.08101575859078
32003001718,34.04999363111408,16.763361193592534,32.08101575859078
32003001801,33.86495162300433,16.890431398681194,31.91105079378601
32003001803,33.556548276154764,17.102215073828965,31.627775852444717
32003001804,33.556548276154764,17.102215073828965,31.627775852444717
32003001901,33.556548276154764,17.102215073828965,31.627775852444717
32003001902,33.556548276154764,17.102215073828965,31.627775852444717
32003002000,33.556548276154764,17.102215073828965,31.627775852444717
32003002201,33.556548276154764,17.102215073828965,31.627775852444717
32003002203,33.14993348052516,17.37151351670204,31.25111554895083
32003002204,,,
32003002206,33.30241402888626,17.27052660062464,31.392363162761036
32003002207,32.540011287080745,17.775461181011654,30.68612509371
32003002302,33.556548276154764,17.102215073828965,31.627775852444717
32003002303,,,
32003002403,,,
32003002404,,,
32003002405,33.556548276154764,17.102215073828965,31.627775852444717
32003002406,33.556548276154764,17.102215073828965,31.627775852444717
32003002501,33.556548276154764,17.102215073828965,31.627775852444717
32003002504,33.556548276154764,17.102215073828965,31.627775852444717
32003002505,,,
32003002506,,,
32003002603,33.556548276154764,17.102215073828965,31.627775852444717
32003002604,33.556548276154764,17.102215073828965,31.627775852444717
32003002605,,,
32003002706,,,
32003002707,33.93488751839894,16.899388140890093,31.968054492595165
32003002708,33.93488751839894,16.899388140890093,31.968054492595165
32003002808,33.97298710351152,16.81560508487654,31.99728273463026
32003002810,33.93488751839894,16.899388140890093,31.968054492595165
32003002811,33.93488751839894,16.899388140890093,31.968054492595165
32003002814,33.93488751839894,16.899388140890093,31.968054492595165
32003002821,34.11268558225766,16.50840054616018,32.104452955425614
32003002822,34.11268558225766,16.50840054616018,32.104452955425614
32003002823,33.93488751839894,16.899388140890093,31.968054492595165
32003002824,33.93488751839894,16.899388140890093,31.968054492595165
32003002825,34.11268558225766,16.50840054616018,32.104452955425614
32003002826,34.11268558225766,16.50840054616018,32.104452955425614
32003002827,34.11268558225766,16.50840054616018,32.104452955425614
32003002828,33.93488751839894,16.899388140890093,31.968054492595165
32003002829,33.93488751839894,16.899388140890093,31.968054492595165
32003002830,33.93488751839894,16.899388140890093,31.968054492595165
32003002831,33.93488751839894,16.899388140890093,31.968054492595165
32003002833,,,
32003002834,33.93488751839894,16.899388140890093,31.968054492595165
32003002835,,,
32003002836,33.93488751839894,16.899388140890093,31.968054492595165
32003002837,33.93488751839894,16.899388140890093,31.968054492595165
32003002838,33.93488751839894,16.899388140890093,31.968054492595165
32003002841,32.85084278051377,17.198049333892598,30.94181120972409
32003002842,32.34070408033252,17.338595777658483,30.458873194255343
32003002844,33.93488751839894,16.899388140890093,31.968054492595165
32003002845,,,
32003002846,33.93488751839894,16.899388140890093,31.968054492595165
32003002847,33.93488751839894,16.899388140890093,31.968054492595165
32003002848,,,
32003002849,33.93488751839894,16.899388140890093,31.968054492595165
32003002850,33.93488751839894,16.899388140890093,31.968054492595165
32003002851,32.34070408033252,17.338595777658483,30.458873194255343
32003002852,32.34070408033252,17.338595777658483,30.458873194255343
32003002853,32.34070408033252,17.338595777658483,30.458873194255343
32003002901,,,
32003002902,32.73324063066096,17.15745094530203,30.816047771731157
32003002905,32.540011287080745,17.775461181011654,30.68612509371
32003002915,32.540011287080745,17.775461181011654,30.68612509371
32003002916,32.540011287080745,17.775461181011654,30.68612509371
32003002919,32.540011287080745,17.775461181011654,30.68612509371
32003002935,32.540011287080745,17.775461181011654,30.68612509371
32003002936,32.540011287080745,17.775461181011654,30.68612509371
