score,rows,cols,path,layer,row_filtered,n_lst_cols,n_hi_cols,n_hot_cols,n_demo_cols,lst_cols_preview,hi_cols_preview,hot_cols_preview
1944,223,34,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,True,6,6,1,0,"lst_c, lst_pct, hi_minus_lst_pct, lst_hot, q75_lst_c, q75_hi_minus_lst_pct","hi_c, hi_pct, hi_minus_lst_pct, hi_hot, q75_hi_c, q75_hi_minus_lst_pct",mismatch_class
1944,223,34,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/share_for_chenchen_10cities_no_houston_phoenix/01_spatial_gpkg_or_vector/atlanta__atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,True,6,6,1,0,"lst_c, lst_pct, hi_minus_lst_pct, lst_hot, q75_lst_c, q75_hi_minus_lst_pct","hi_c, hi_pct, hi_minus_lst_pct, hi_hot, q75_hi_c, q75_hi_minus_lst_pct",mismatch_class
1844,223,34,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/atlanta/working/atlanta_heat_master_template.gpkg,atlanta_heat_master_template,True,6,6,1,0,"lst_c, lst_pct, hi_minus_lst_pct, lst_hot, q75_lst_c, q75_hi_minus_lst_pct","hi_c, hi_pct, hi_minus_lst_pct, hi_hot, q75_hi_c, q75_hi_minus_lst_pct",mismatch_class
1602,223,42,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/twelve_city_final_figures/twelve_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,twelve_city_lstadaptive_heat_index_mismatch_GIS_READY,True,11,11,1,0,"lst_c, hi_minus_lst, lst_pct_city, lst_z_city, hi_minus_lst_pct, hi_minus_lst_z","hi_c, hi_minus_lst, hi_pct_city, hi_z_city, hi_minus_lst_pct, hi_minus_lst_z",mismatch_class
1294,223,34,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion_12city/step2_new_6city_lst_hi_combined.gpkg,step2_new_6city_lst_hi_combined,True,6,6,1,0,"lst_c, lst_pct, hi_minus_lst_pct, lst_hot, q75_lst_c, q75_hi_minus_lst_pct","hi_c, hi_pct, hi_minus_lst_pct, hi_hot, q75_hi_c, q75_hi_minus_lst_pct",mismatch_class
11,223,21,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/atlanta/working/atlanta_tracts_boundary.gpkg,atlanta_tracts_boundary,True,0,0,0,0,,,
11,223,21,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_tracts_boundary.gpkg,atlanta_tracts_boundary,True,0,0,0,0,,,
-13,1,17,/Users/yufeizhou/Desktop/heat-exposure-compare/data_raw/houston/place_2025/tl_2025_48_place.shp,,True,0,0,1,0,,,CLASSFP
