column,dtype,non_null_count,missing_count,mean,std,min,median,max,is_alphaearth_A00_A63
GEOID,int64,6270,0,26295112443.25566,14385331399.857828,6001428700.0,32003005339.5,53035990100.0,False
lst_c,float64,6049,221,35.036292891396954,5.327159830427805,15.05455853499024,33.74648854961837,50.08782933252306,False
hi_c,float64,6080,190,23.76835484934065,4.093511044924571,15.497950415092708,22.628044894121725,33.963847449303145,False
hi_minus_lst,float64,1852,4418,-15.32722977345184,4.31358652819461,-20.994712010314267,-16.251365625471927,0.3433837514226383,False
lst_z_city,float64,458,5812,1.9276186663360797e-15,1.0010934940391132,-5.348691749493311,-0.02994884251893755,2.329531255894518,False
hi_z_city,float64,458,5812,9.2502424933834e-16,1.0010934940391132,-4.938994246857175,-0.1734185989008675,2.500763572316609,False
hi_minus_lst_z,float64,458,5812,-1.0045336711892247e-15,0.7075899501146458,-1.929065461175966,-0.0145657901123145,1.7479121143682683,False
_ae_rowid,int64,6270,0,654.1298245614036,628.3137993003653,0.0,423.0,2364.0,False
alphaearth_year,int64,6270,0,2024.0,0.0,2024.0,2024.0,2024.0,False
A00,float64,6270,0,0.07302103630598628,0.06454328803260498,-0.1316457564186552,0.061781140032550905,0.2679993187116224,True
A01,float64,6270,0,-0.24375751931553194,0.05713422518830416,-0.3565587465560272,-0.2566156476557674,0.2125121680786452,True
A02,float64,6270,0,0.08031467080023443,0.07309846184055954,-0.2430683708311031,0.0915648923022469,0.2590716297539733,True
A03,float64,6270,0,-0.02114970729197353,0.09338205322595021,-0.2128996604893754,-0.0481673707342137,0.2009989130880642,True
A04,float64,6270,0,0.0550179925296238,0.041794678133723985,-0.1348812495140674,0.05806839132443575,0.1784460968791337,True
A05,float64,6270,0,-0.11022200225756179,0.054723057031605786,-0.2629011590604548,-0.10831977866927635,0.0923595463209606,True
A06,float64,6270,0,-0.04473086884142833,0.04470311404169497,-0.1859385619917318,-0.047432780064302155,0.1466369212628711,True
A07,float64,6270,0,-0.10402098861659563,0.07250449957028794,-0.2371232560262789,-0.10923672007156365,0.1876624051299543,True
A08,float64,6270,0,-0.1133026621513118,0.09406216200471026,-0.3798893022380846,-0.10791726207557101,0.1845591854448544,True
A09,float64,6270,0,-0.06999660720022084,0.06141336769844034,-0.3006081916337047,-0.07184521428402865,0.1367959982482262,True
A10,float64,6270,0,0.09122601547570638,0.0422044870053229,-0.1197402341823479,0.0974121780224197,0.2151565995093551,True
A11,float64,6270,0,-4.205655368168683e-05,0.07203175330205959,-0.2144125243217702,-0.00180824334723425,0.2412113254545033,True
A12,float64,6270,0,-0.13480221855350955,0.06075677094396753,-0.3069429605360886,-0.12939408683573472,0.0149389845778638,True
A13,float64,6270,0,-0.18156886994166008,0.03776176103474935,-0.2967481838361996,-0.18656400733796896,-0.0320708550877846,True
A14,float64,6270,0,-0.14562454383907888,0.08874028308101696,-0.3267758628871379,-0.1661656291133469,0.1199783138936821,True
A15,float64,6270,0,-0.056358459866877215,0.0631442133046515,-0.2110334119017834,-0.06329181805753865,0.2223133829878255,True
A16,float64,6270,0,0.06636251800907057,0.07711223029998722,-0.2005832146212147,0.07164607539595519,0.3014225440644861,True
A17,float64,6270,0,0.1432988516596858,0.05363852878361951,-0.1636996960216123,0.15676598953603077,0.2577049787438144,True
A18,float64,6270,0,-0.007699166801000489,0.0757578829726058,-0.2233941901987765,-0.01803623841988995,0.3034392453491203,True
A19,float64,6270,0,0.025095171683507618,0.046756965578270415,-0.1688160830415926,0.03476010593775785,0.1953781502146847,True
A20,float64,6270,0,0.021127465294714307,0.05211685991149859,-0.1712654921095399,0.019330892417539852,0.1556217045145554,True
A21,float64,6270,0,0.020146606260172874,0.06261232522321629,-0.2726290749211789,0.022424594527711998,0.2319467520404081,True
