city,class_a,class_b,observed_edges,expected_edges_random_mixing,observed_expected_ratio,log2_observed_expected_ratio
houston,Both LST and HI hotspot,Both LST and HI hotspot,55,12.435396697423037,4.422858501281068,2.1449790874173176
houston,Both LST and HI hotspot,LST-only hotspot,14,42.42664755591389,0.3299812925720672,-1.59954385792697
houston,Both LST and HI hotspot,HI-only hotspot,74,43.40197278708432,1.704991622455031,0.7697646505267061
houston,Both LST and HI hotspot,Neither hotspot,14,157.0273622184399,0.08915643619183183,-3.4875172401928585
houston,LST-only hotspot,LST-only hotspot,67,36.1874346800442,1.8514713903427809,0.8886722565959653
houston,LST-only hotspot,HI-only hotspot,28,74.0386594603203,0.37818080721742536,-1.4028519469218723
houston,LST-only hotspot,Neither hotspot,261,267.87020613733864,0.974352481239305,-0.037484319557811126
houston,HI-only hotspot,HI-only hotspot,169,37.87034880441671,4.462594228344948,2.1578826321850384
houston,HI-only hotspot,Neither hotspot,53,274.02814191061077,0.19341079215611673,-2.370259796682166
houston,Neither hotspot,Neither hotspot,706,495.7138297484083,1.4242088028052782,0.5101606748775961
phoenix,Both LST and HI hotspot,Both LST and HI hotspot,47,11.158223254463637,4.212140134514564,2.0745534344657526
phoenix,Both LST and HI hotspot,LST-only hotspot,8,29.13536071998839,0.27458043430063245,-1.8646992674472098
phoenix,Both LST and HI hotspot,HI-only hotspot,59,37.81397880679344,1.5602695580238808,0.6417952960293826
phoenix,Both LST and HI hotspot,Neither hotspot,8,116.54144287995356,0.06864510857515811,-3.86469926744721
phoenix,LST-only hotspot,LST-only hotspot,71,19.01891602554798,3.733125479108598,1.900384001822147
phoenix,LST-only hotspot,HI-only hotspot,19,49.36825010886922,0.38486273988039466,-1.3775840901241982
phoenix,LST-only hotspot,Neither hotspot,107,152.15132820438384,0.7032472293391198,-0.507896131281388
phoenix,HI-only hotspot,HI-only hotspot,112,32.036843155755555,3.495974914116303,1.8056948326045714
phoenix,HI-only hotspot,Neither hotspot,18,197.47300043547688,0.09115170155061979,-3.4555866021254715
phoenix,Neither hotspot,Neither hotspot,500,304.3026564087677,1.6431010031287845,0.716421166979552
las_vegas,Both LST and HI hotspot,Both LST and HI hotspot,160,35.84289010507046,4.4639257473650495,2.15831302967625
las_vegas,Both LST and HI hotspot,LST-only hotspot,28,39.71779714345646,0.704973639370456,-0.5043587821426422
las_vegas,Both LST and HI hotspot,HI-only hotspot,58,39.71779714345646,1.4603025386959445,0.5462672909273257
las_vegas,Both LST and HI hotspot,Neither hotspot,12,292.55548139814266,0.04101786075807289,-4.607603938186085
las_vegas,LST-only hotspot,LST-only hotspot,60,11.00290326271429,5.453106200008405,2.4470782524191383
las_vegas,LST-only hotspot,HI-only hotspot,11,22.00580652542858,0.4998680683341038,-1.000380724552083
las_vegas,LST-only hotspot,Neither hotspot,82,162.09155050437636,0.5058869493495656,-0.9831130732782919
las_vegas,HI-only hotspot,HI-only hotspot,78,11.00290326271429,7.089038060010926,2.825589875672868
las_vegas,HI-only hotspot,Neither hotspot,36,162.09155050437636,0.222096709470541,-2.170740076454063
las_vegas,Neither hotspot,Neither hotspot,848,596.9713201502641,1.4205037518159989,0.5064026419598285
