city,n_tracts,lst_hot_n,hi_hot_n,both_hot_n,hotspot_union_n,hotspot_jaccard_overlap,lst_hot_q75_threshold,hi_hot_q75_threshold,centroid_shift_distance_km,centroid_shift_direction,centroid_shift_direction_degrees_from_north
houston,549,138,140,51,227,0.22466960352422907,49.66202367059505,34.19809785111112,8.234143092282412,SE,151.70034410033952
phoenix,332,83,97,36,144,0.25,58.368203839935525,33.68585166804336,35.19919027516227,S,182.08010314273145
las_vegas,458,115,115,74,156,0.47435897435897434,48.00162733296009,31.98997567412149,50.92984433205554,NE,25.576130175400294
