city_label,city_context,broad_context,mechanism_type,story_group,ready_pct,n_ready,mean_lst_c,mean_hi_c,lst_hi_corr,both_pct,hi_only_pct,lst_only_pct,hi_minus_lst_hotspot_pct,priority_pct,total_hotspot_pct,mismatch_pct
San Francisco,Coastal / compact / bay-influenced,Coastal / water-influenced,Strong HI-dominant,Strong apparent-heat shift,72.3076923076923,188,27.964185991305197,16.245935362499566,0.2762610770023599,26.595744680851062,53.191489361702125,0.0,53.191489361702125,53.72340425531915,79.7872340425532,53.191489361702125
Miami,Coastal / humid,Coastal / water-influenced,Strong HI-dominant,Strong apparent-heat shift,96.89922480620154,125,35.48986387590662,32.54031085100369,0.2137873660556167,23.200000000000003,52.0,2.4,49.6,52.0,77.60000000000001,54.4
Boston,Coastal / temperate,Coastal / water-influenced,Strong HI-dominant,Strong apparent-heat shift,92.27053140096618,191,31.839816995257323,20.89003071732949,0.0001509635897057,13.612565445026178,47.64397905759162,11.518324607329845,36.12565445026178,47.64397905759162,72.77486910994764,59.16230366492147
Atlanta,Inland / humid / sprawling Sun Belt,Inland Sun Belt,Moderate HI-dominant,Moderate apparent-heat shift,100.0,223,33.10507557125028,25.56934602618884,-0.268547625635977,6.726457399103139,32.28699551569507,18.385650224215247,13.90134529147982,33.6322869955157,57.399103139013455,50.672645739910315
Seattle,Coastal / Pacific Northwest / water-constrained,Coastal / water-influenced,Moderate HI-dominant,Moderate apparent-heat shift,94.47236180904522,188,28.00460691266975,18.96271613181368,-0.0637213215272988,3.1914893617021276,32.97872340425532,21.808510638297875,11.170212765957444,38.297872340425535,57.97872340425532,54.787234042553195
Chicago,Great Lakes / large grid city,Great Lakes,Moderate HI-dominant,Moderate apparent-heat shift,100.0,872,33.529735183630024,21.349919987413735,0.631142924321808,18.46330275229358,17.545871559633028,6.536697247706422,11.009174311926609,28.55504587155963,42.54587155963303,24.08256880733945
Los Angeles,Coastal / dry,Coastal / water-influenced,Moderate HI-dominant,Moderate apparent-heat shift,97.47292418772562,1080,39.58015821490969,22.316720235533815,0.3502317109155967,7.222222222222221,25.925925925925924,17.77777777777778,8.148148148148145,32.407407407407405,50.925925925925924,43.7037037037037
Dallas,Inland / large Sun Belt / car-oriented,Inland Sun Belt,Mixed / transitional,LST-shift,100.0,449,39.23019107225657,33.1097880895593,0.1087414753143568,12.47216035634744,18.70824053452116,12.694877505567929,6.013363028953231,29.398663697104677,43.87527839643653,31.40311804008909
Phoenix,Inland / desert,Inland desert,Mixed / transitional,Mixed / transitional,100.0,332,57.05731291430733,33.287953710745924,0.2912812422021387,10.843373493975903,18.373493975903617,14.156626506024098,4.216867469879515,31.92771084337349,43.37349397590362,32.53012048192772
Houston,Coastal / humid,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,100.0,549,47.943522184178214,34.1546822133318,0.3412754779438834,9.289617486338798,16.21129326047359,15.846994535519126,0.3642987249544624,28.051001821493628,41.34790528233151,32.05828779599271
New York,Coastal / megacity / dense core,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,88.28752642706131,2088,32.04032824703527,22.6927328517768,0.0533020407087778,5.795019157088123,19.54022988505747,19.20498084291188,0.3352490421455911,27.53831417624521,44.54022988505747,38.74521072796935
Las Vegas,Inland / desert,Inland desert,Coupled LST-HI,Coupled LST-HI,100.0,458,47.00292475936593,31.09656820069598,0.7502048289967429,16.157205240174672,8.951965065502183,8.951965065502183,0.0,26.200873362445417,34.061135371179034,17.903930131004365
