city,path,rows,geoid_col,overlap,reason
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_pc5_explained_variance.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_pc7_loadings_corrected.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_2024_tract_mean_mosaic_clean.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_top4_loadings_full.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_pc123_top3_factor_links.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_tracts_heat_ready_with_alphaearth.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_pc7_explained_variance_corrected.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_gap_extended_rf_shap_importance.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_2024_tract_mean.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_pc5_scores.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_pc7_scores_corrected.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_pc5_loadings_corrected.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_pc7_loadings.csv,0,,0,no readable geometry
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/houston_alphaearth_pc7_scores.csv,0,,0,no readable geometry
