city,GEOID,lst_c,hi_c,hi_minus_lst_z,mismatch_class,priority_flag
houston,48201341304,45.98498180625455,34.525118977207114,5.517932905649284,HI-only hotspot,True
houston,48201454504,37.70244643048938,34.19429176251948,4.39223915576663,Neither hotspot,True
houston,48201454502,38.316710635155395,34.183682433538294,4.022645585613528,Neither hotspot,True
houston,48157673006,39.00644930343695,34.18258016559219,3.747008736821755,Neither hotspot,True
houston,48157673007,39.30157772832825,34.18258016559219,3.635148362756191,Neither hotspot,True
phoenix,04013082204,53.56581771415853,34.18679044946821,3.587343397175143,HI-only hotspot,True
phoenix,04013108000,52.093661470556015,33.684223247532515,3.536927040271268,Neither hotspot,True
houston,48201510802,40.22418145645301,34.19809785111112,3.4855117075997297,HI-only hotspot,True
houston,48201541703,38.18026480807089,34.13271682390873,3.417322523474167,Neither hotspot,True
phoenix,04013107800,51.440967267605885,33.3082424010499,3.2430178690744906,Neither hotspot,True
houston,48201454400,40.98652723427006,34.20063316378254,3.229250126228526,HI-only hotspot,True
phoenix,04013111900,52.43425892643658,33.55384219869438,3.111274617778261,Neither hotspot,True
houston,48201350601,45.02875616571684,34.30535637413309,3.047225665955088,HI-only hotspot,True
houston,48201340101,45.251581511784,34.30535637413309,2.962769800439789,HI-only hotspot,True
houston,48201340301,45.40663806890751,34.30535637413309,2.9039998446568354,HI-only hotspot,True
phoenix,04013106200,52.09094635353848,33.3082424010499,2.8718667522128434,Neither hotspot,True
phoenix,04013106600,52.284042023929864,33.3082424010499,2.761605244915139,Neither hotspot,True
houston,48201340900,45.99906465337614,34.30535637413309,2.6794567178148387,HI-only hotspot,True
houston,48201250602,37.905648209972895,34.06298350196785,2.622419475900135,Neither hotspot,True
houston,48201250403,36.2141363795325,34.011033909333186,2.5938164122674943,Neither hotspot,True
houston,48201350803,46.30557176707478,34.30535637413309,2.563283562332729,HI-only hotspot,True
houston,48201252003,38.20092576954623,34.06700199180536,2.562308197500318,Neither hotspot,True
houston,48201411200,42.66804531559174,34.19809785111112,2.5592318158906826,HI-only hotspot,True
phoenix,04013108100,52.70303209052634,33.3145440082961,2.5335261921429946,Neither hotspot,True
phoenix,04013111100,53.94185095929177,33.684223247532515,2.4815737100452386,Neither hotspot,True
phoenix,04013106702,52.97381613909092,33.3082424010499,2.3677303668381686,Neither hotspot,True
houston,48201430102,43.18762772300675,34.19809785111112,2.362298286113818,HI-only hotspot,True
houston,48201453800,47.57711618140138,34.32713300899536,2.362079671195209,HI-only hotspot,True
houston,48201340501,46.89069205537747,34.30535637413309,2.3415096876305643,HI-only hotspot,True
phoenix,04013105400,53.02772203011904,33.3082424010499,2.3369490200325234,Neither hotspot,True
