city,city_label,n_total,n_ready,ready_pct,mean_lst_c,mean_hi_c,mean_hi_minus_lst,q75_lst_c,q75_hi_c,lst_hi_corr,mean_hi_minus_lst_pct,priority_n,priority_pct,Both LST and HI hotspot,HI-only hotspot,LST-only hotspot,Missing,Neither hotspot,city_context,hi_minus_lst_hotspot_pct,hotspot_union_pct,hotspot_overlap_ratio,mechanism_type
houston,Houston,549,549,100.0,47.943522184178214,34.1546822133318,-13.78883997084641,49.66202367059505,34.19809785111112,0.3412754779438762,-1.6178113291441261e-18,154,28.051001821493628,9.289617486338798,16.21129326047359,15.846994535519126,0.0,58.65209471766849,Coastal / humid,0.36429872495446247,41.34790528233151,0.2246696035242291,Mixed / transitional
phoenix,Phoenix,332,332,100.0,57.05731291430733,33.287953710745924,-23.769359203561407,58.368203839935525,33.68585166804336,0.2912812422021385,0.0,106,31.92771084337349,10.843373493975903,18.373493975903617,14.156626506024098,0.0,56.62650602409639,Inland / desert,4.216867469879519,43.373493975903614,0.25,Mixed / transitional
las_vegas,Las Vegas,458,458,100.0,47.00292475936593,31.09656820069598,-15.906356558669952,48.00162733296009,31.98997567412149,0.7502048289967426,-5.817762574454969e-18,120,26.200873362445417,16.157205240174672,8.951965065502183,8.951965065502183,0.0,65.93886462882097,Inland / desert,0.0,34.061135371179034,0.47435897435897445,Coupled LST-HI
los_angeles,Los Angeles,1108,1080,97.47292418772562,39.58015821490969,22.316720235533815,-17.263437979375883,41.44040093202014,22.772576144121732,0.3502317109155949,3.2895497025930565e-18,350,31.5884476534296,7.222222222222221,25.925925925925924,17.77777777777778,2.527075812274368,49.07407407407408,Coastal / dry,8.148148148148145,50.925925925925924,0.14181818181818182,Moderate HI-dominant
miami,Miami,129,125,96.89922480620154,35.48986387590662,32.54031085100369,-2.9495530249029165,36.39554484236305,32.61858411931805,0.2137873660556179,3.996802888650563e-18,65,50.3875968992248,23.200000000000003,52.0,2.4,3.10077519379845,22.4,Coastal / humid,49.6,77.6,0.2989690721649485,Strong HI-dominant
boston,Boston,207,191,92.27053140096618,31.839816995257323,20.89003071732949,-10.94978627792784,32.73725490196082,20.903050732267108,0.0001509635897196,-2.325074397120747e-17,91,43.96135265700483,13.612565445026178,47.64397905759162,11.518324607329845,7.729468599033816,27.225130890052355,Coastal / temperate,36.12565445026178,72.77486910994764,0.18705035971223022,Strong HI-dominant
