broad_context,n_cities,mean_ready_pct,mean_hi_only_pct,mean_lst_only_pct,mean_both_pct,mean_hi_minus_lst,mean_priority_pct,mean_lst_hi_corr
Coastal / water-influenced,7,91.67289441981316,35.35594869928658,12.650941200262357,12.700951193318359,22.70500749902422,39.951711294068936,0.16732675924123447
Great Lakes,1,100.0,17.545871559633028,6.536697247706422,18.46330275229358,11.009174311926609,28.55504587155963,0.631142924321808
Inland Sun Belt,2,100.0,25.497618025108114,15.540263864891589,9.599308877725289,9.957354160216525,31.51547534631019,-0.0799030751608101
Inland desert,2,100.0,13.6627295207029,11.554295785763141,13.500289367075288,2.1084337349397577,29.064292102909455,0.5207430355994408
