City,Percentile,LST_threshold_C,HI_threshold_C,LST_only_hotspot_km2,HI_only_hotspot_km2,Overlap_hotspot_km2,LST_hotspot_total_km2,HI_hotspot_total_km2,Union_hotspot_km2,Overlap_pct_of_LST_hotspot,Overlap_pct_of_HI_hotspot,Jaccard_Index
Phoenix,80,50.76,32.39,163.21,391.56,165.43,328.64,556.99,720.2,50.34,29.7,0.23
Miami,80,36.59,32.21,13.36,0.0,31.66,45.02,31.66,45.02,70.32,100.0,0.7
