GEOID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
06037204920,-0.09560717244228421,-0.0009800645939037277,0.015487392033821564,-0.005673846844480122,-0.012848332220297114,-0.0017610927429621201,0.00039284907059745585,-0.22038085716681877,-0.015054003898149069,0.003513782450077502,-0.01983117120040039,-0.031875341892366446,-0.0032637197121516805,-0.04180661467845134,0.0012358547380908237,-0.006846311726218099,0.009715668209994859,-0.001501023589518445,-0.004884626945075881,-9.168363303324842e-05,0.00519347289201327,0.03152255317569399,-0.019049876127325293,0.04314828442117328,-0.01633764192661636,0.003151058935129294,-0.013248813030896336,-0.010163205988733479,-0.000601557729789267,-0.004385715282603145,0.0057359723416016166,-0.03875702941248878,-0.00027309148596261254,-0.014765814177668752,-0.019171142007567622,-0.08783925338027232,-0.023970532632930003,0.002479216990690576,0.0064470611927582595,-0.0003474389541183637,-0.0009579519281571179,0.018510944383500875,-0.010307498460737653,-0.0756708984125545,0.0009478718878859698,-0.017190418267046297,-0.025217991639150783,-0.01624783262312825,0.003357576029038123,-0.032808914626071675,-0.0026495340764865786,0.001543618612651876,0.027545415525272975,-0.009420055059771296,-0.029014072785109,-0.0459082417966128,-0.0031499713981441406,-0.05657381899094165,0.006764992337921144,-0.0437682484557069,0.006169779737599781,0.005061567933581902,-0.0005697181376286294,-0.028760239501911117
06037205110,-0.02652983653814401,-0.026168510427589643,0.016073623661538815,-0.0002280872894646844,0.0011711674654671406,-0.0328795194581776,-0.006969792938544361,0.10868771261253823,-0.011496842747358285,-0.0011508708239130003,-0.08486910551011251,-0.026755891914729647,-0.001231363178485762,0.00567256528714553,-0.013866584242461689,-0.00788390155469099,-0.011886826089368115,-0.004932044979423113,0.002633225238798736,0.0014698204153360905,0.005222128197300908,-0.018130132416601545,-0.001058029924652909,-0.09041171018873106,0.00822922614941747,-0.006250721999539598,-0.03120699300684021,-0.011197013930932838,-0.029082872354816845,-0.0018045813189964967,-0.018695576446858396,-0.025383785091430168,-0.0008330841066007006,-0.0059397742281874655,-0.00868963538866216,-0.07186028024216332,-0.004039879247630869,-0.02346180308237043,-0.033219469675838914,-0.012434110970869596,0.00425881999702636,-0.0451289205595016,-0.004145253447855592,-0.01073943563572209,-0.007340676200011619,-0.07447673305626469,-0.04359233730856125,-0.0147919243463551,0.00904191710685479,-0.002844698335645982,0.0014674637762380075,-0.0011838558033133834,0.05089973979066654,-0.002342196000486166,0.0054777736108515725,0.009452952599526481,0.0021118473453790483,-0.01821656670144647,-0.0277266472356328,0.0012711825736292654,-0.012460509128568087,-0.005947610301453524,-0.012769222560865283,-0.020828148045735607
06037205120,-0.10232269957941072,-0.003566769643679594,0.024408154568053488,0.0022063334857251194,-0.017539247674339953,0.005144936293923157,-0.005106750021162992,-0.21092404618081287,-0.021006306294606647,0.0006293916066615042,-0.007411021368123614,-0.028495738151782194,-0.002501935197622115,-0.04111133912248872,0.004067539681354778,-0.007924605441294514,0.02832565367406337,-0.004021597531339682,-0.004620124349164166,0.0003234729642136421,0.0012062124370802042,0.010867849366996526,-0.02401133603162463,0.04688240019373184,-0.002404420371286323,0.004556864291153284,-0.021241137057324486,-0.0021310259005110936,0.001063163837114893,-0.008226974355581052,-0.0018307768033294515,-0.04363306305699749,-0.0013675549541829074,-0.017874832348999597,-0.017302556497481105,-0.05940902907562934,-0.02376565741957798,0.0005543485599396749,-0.013136616298105855,-0.00388794965994197,-0.001336132147097446,0.0131074009073521,-0.013736524686770918,-0.06971613618940992,0.0010699629244256186,0.0016733333218005482,-0.02093224965422158,-0.013342770698286434,0.00227177008595123,-0.03549120245567817,-0.002011322277015162,0.0013906738147563607,0.03228298289946861,-0.007835835073935876,-0.03471094256834365,-0.05980580363947888,-0.0019666729548046985,-0.044826825495846406,0.010806979295448054,-0.04383556084524957,0.0004370750262917172,0.004927224125642623,-0.0023781943079953655,-0.02939835098559562
06037206010,-0.03192828088867204,0.004212710374111211,0.043561671049112585,-0.0052533271995127,0.0013428631634574432,0.01227555613357699,0.0048214879492535475,0.3779244379599539,0.0001621730846432152,0.015299718740022285,0.046684822803456184,-0.01105387828698278,-0.003978917412205022,-0.00941383474040159,-0.0013339929875941794,0.010502711789726008,-0.0053546857145472075,0.009847376673340234,0.017346960534796084,0.0007001869161619238,0.011513023291823228,0.07482309355528341,-0.0026057863278060446,0.05491127930650528,0.0064152309418324975,0.006287572376652932,0.011816862486831205,0.013401925971555486,0.008999374067580146,0.008922447920709842,0.003728954503368417,0.15358462138436668,0.006582308784634981,-0.000470449096763131,-0.0067692323087642356,-0.03468641201335486,-0.008407010904103685,0.004640091725640693,-0.05155500645878171,0.003498767722866491,-0.00257037735028432,0.01920845675661753,0.0009670592369365401,-0.03453168562758706,0.000393641291065002,0.1482472904656628,-0.028152697425560733,-0.017505685153729106,0.011644610640722577,0.004916747601700409,0.007106752416358162,0.003979821857075086,0.05143948167725499,-0.0010729974502183474,0.0356706819780185,-0.01028387063313421,0.004222052470040271,-0.018472750058994944,0.020322269848830014,0.006695750455638718,0.007172486355353049,0.020812254691940826,-0.0021471264404308676,0.00582754209799836
06037206020,0.03257358438654766,-0.0019037751245826503,0.036024503308743315,0.009399826856051095,-0.003391247584078225,0.007715371540103128,0.010810030031355979,-0.09059637730000705,-0.007853055880505952,0.008166808531817893,0.045162753967719,-0.016512809162103466,0.0017382493070111835,0.02294507896660588,0.0022733294949347023,0.00042643501580920515,0.022763263878995663,0.00647693592891742,0.01563741746594041,0.03238015256871367,0.06322991531279258,0.04130133362783168,-0.016726701922837057,0.11972478519629312,0.010649174088893985,0.0007709262966942663,-0.01857080184698225,-0.010602241601470394,-0.0003195243721942964,0.014526677537067247,0.031193084012664313,0.12469018340277088,0.0022834043753655188,-0.004757501790275625,-0.007159010559433781,-0.06333186636083954,0.08844188576204673,0.0023528507417985016,0.08453999961769341,0.021412690698097075,0.005153188706953383,0.019696874596279584,0.0073233785376604415,-0.05195960170081057,0.0065453712840301504,0.02279963075131266,0.02064637901541877,0.0065482539247809345,0.03882289408925517,-0.016752429412984,0.015051278779810204,0.0054893920947508505,0.041618726439383004,-0.006561868359179634,-0.030931421319935527,-0.032990082406657156,0.0010840725226265754,-0.0183555241313337,0.02664901651512934,0.00405400818701951,0.007087528632087091,0.017880088892518402,0.00467389275630675,-0.01692418545126648
06037206050,-0.12656694880761438,0.003917763650293197,-0.0627641080227339,-0.003335915504619392,-0.03930130199636403,0.00018909990237610396,0.006135057519639507,-0.10627626099429047,0.00045366361312401405,0.016896290251700204,-0.034545334765016554,-0.00019104094020106743,-0.005211342308521241,-0.012025258213280455,0.00033210132326773806,-0.002971079701200581,-0.0001034458017011233,-0.0027413776574702654,0.0017403587776186945,-0.0712534571810362,-0.047343308006281844,-0.009077143277703197,-0.01861461511646061,0.018116986474651993,-0.016112306352146014,0.0001467128591145413,-0.0037005657749508594,-0.0022247202220959045,0.0032053314012852555,0.013051164897783497,0.016234608848977466,0.06746115878471122,-0.03238173899189054,-0.016624221338116238,-0.017372360284400985,-0.11748263730152567,-0.016033054175265203,0.01647240335775643,-0.006614203101930334,0.0038732131429729437,-0.004273276757515895,0.042154885754236954,-0.013135283208283294,-0.11213489340598713,0.0001795247158177179,0.06741987584629681,-0.012802694150021108,0.006406212173017506,0.02217095870773294,-0.031899205795041824,0.005427699915135662,-0.010219740657398559,0.04597741393872051,-0.008087015597238907,-0.028746443815636916,-0.005297096732117304,-0.002679028132628509,-0.1258758087085675,0.01550932046911185,0.003281386807448603,-0.0341491120691796,0.014343776370638028,-0.01981262525543282,-0.019454080271110362
06037111402,0.02214836261319506,0.005578371151985303,-0.0452271808499687,-0.0002230002180771079,0.0064229225197609445,-0.009337753107230184,0.026329370191495827,-0.1852795849984902,0.0015254668002235685,-0.024131643502623954,0.014883429370101705,-0.035341030028145336,-0.0018121153289414721,-0.024650109201867953,-0.005074693033825618,0.002916939734903038,-0.010179096795292476,0.0014892537794047853,-0.01680079385513165,0.03015291261393943,-0.046902244574658226,-0.00144986121631411,0.003323389591612871,-0.022219087315281535,0.008018664194234807,-0.0029243295576209015,0.01188406408166625,-0.002487830212370693,0.00020844586394475463,0.007397150957890366,0.00804641663024337,-0.037218052957371184,0.008326914958027915,-0.003940095262726861,0.0015401554646462194,-0.012122044670160422,-0.01637635370509525,0.00022298172266939766,-0.07695369860043355,0.0001286543021122464,0.003223726427240443,0.06078778426946779,0.0020943939294359526,0.008773567165702597,0.003471191251832649,0.016292823981043866,0.007359112335993682,-0.0029299639945443087,0.007910066289485483,0.0074060825528600716,-0.0008750407770569448,-0.001429528882468568,-0.07733208192317731,-0.0001843825269788173,-0.0240889433815152,-0.02970145829763705,-0.0005172954244777926,0.20522492509402537,0.012298792719179769,0.0016947708206906604,-9.362591869715218e-05,-0.015654386899203263,0.0031236846841761093,-0.006506465383693576
06037111303,0.024035481307461196,-0.0030934186671204606,-0.04537922798275425,-0.00024677132236358007,0.007783598266973486,-0.007048517061834283,0.02316386952905598,-0.17009333992225825,0.001530057646637841,-0.021184312646888734,0.01302751866323905,-0.033465810300911364,-0.0012611837677741831,-0.024663995903114747,-0.0045347620284105295,0.0011850816082250985,-0.006708114806453207,-0.0022786400309899525,-0.016573504343983133,0.023715569635041317,-0.04325285895109176,0.0002183243450551362,0.003011282276267942,-0.017728789778092755,0.007240103555683948,-0.002502939252783548,0.011151939789854194,-0.001320909108552364,-0.0005979049895169898,0.005555852899998143,0.004338962439968302,-0.04097392531519789,0.006149069112004685,-0.002664520515345622,-0.0020003351695307725,-0.009595942391568848,-0.018740221980483016,-0.00042660001647524555,-0.08182369359264706,0.012148247836176634,0.0021493952965285948,0.05736405916149384,0.0031826755349813195,-0.013706638740172118,0.001994544463440227,0.030603547406940126,0.008542460229700212,-0.0015923716356078272,0.010826891724409392,0.008001992777831349,-0.0019126869187002812,-0.0017518148697656865,-0.07837079889755061,5.134048794517501e-05,-0.020751185922643564,-0.015059753714727283,-0.0005709843171655216,0.20450487950683122,0.010949264564727676,0.00535301905834173,0.0016587923771027955,-0.009037649133797487,-0.012994532498874133,-0.0028474453681450245
06037104321,-0.005351375692904378,-0.0006616320190561641,0.0003455800954645622,-0.0035178604022184133,0.008982201187842747,-0.015104841399785822,-0.0023569357441700235,-0.17405914071854806,-0.02750215860006907,0.012949186822896093,-0.0007272293521952468,-0.022293064471369115,-0.0023327434259781355,-0.018165256572910383,0.0035278730513770167,0.0041666568709652786,-0.008428993718205375,-0.005911466260505461,-0.03569887687570418,-0.003329386196027691,-0.08036078213475208,-0.029971926600967567,-0.0011488767615927722,-0.009887299471246587,0.0050742710623473295,-0.006407873930257152,0.005176463309371422,-0.01776273107506732,-0.00854991847359973,-0.01121227351064553,-0.010230692601665833,0.07696171329680371,-0.0033843018797778362,-0.013851683358587339,0.0022963843402513113,0.0272397965921203,-0.01184814963042288,-0.0271182909541251,-0.03721165760159159,-0.010839331959004881,0.00596937720412559,-0.05442569480784219,-0.003064537949462012,-0.046720152130836974,-0.0041146225958261715,0.020450306215588666,-0.006773453679358917,-0.009023675056323146,0.011287332318824343,0.002503754420909191,-0.005972723706124274,-0.00017235449465549888,0.04691567935855338,-6.041530044557917e-05,-0.026142721584642717,-0.012771454369170838,0.0013425687210231472,-0.04226491186655036,0.0032413814537588003,-0.08100176978561419,-0.001748215995064225,-0.015328144110794936,-0.020556389352817384,0.010743686151055488
06037104322,-0.035572390598386044,-0.0023879890723619884,0.02991439782063865,-0.004992404696922419,0.008003338055542446,-0.005313017420797211,-0.0015383950336903152,-0.17589880113081044,-0.025550172431182558,0.007805651579250565,-0.000988452927157698,-0.021225572633259693,-0.001717333812609958,-0.02343138869101137,-0.0025519327982589392,0.005518300843117192,-0.007621254929824492,-0.006989493459945617,-0.04184742177169821,-0.0006939647988800844,-0.07343447209761604,-0.03656661439154167,-0.006685946860099458,0.052722212421340765,0.0022790477326103645,0.001302619440281363,0.006257151213668508,-0.005166412482059891,-0.0033345877429499537,-0.017793134710264447,-0.014064756648805866,0.019937795184650466,-0.0037257531501806644,-0.015133378469445662,-0.003161262422582976,0.02927543268722253,-0.010773421876580532,-0.013764309279825995,-0.05236412844779345,-0.011323172059479471,-0.001047479418602443,0.02941402713701096,-0.0018757567669302547,-0.05122692102225061,-0.0058541292097324974,0.021099042870742973,-0.00915885395673162,-0.00994901497733462,0.020752816765177533,0.0056437205889477,-0.007700828580870464,0.0025749845443261764,0.05894735854376044,-0.002406156255443006,-0.02618989034973665,-0.04460919693051158,-0.0025470842361777876,-0.04155673578405688,-0.004612629589179388,-0.07130014249856557,0.008791205216674076,-0.004494386852952168,-0.02125662319148719,0.006262435679059266
