embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,-0.1355381806979362,0.031753816824447084,0.010467628342378698,-0.14440229008041142,0.06051152655740153,0.10334209865436582,0.2757731153230983
A01,0.1979166581012759,0.04743849047531644,-0.012792078770934606,-0.10010326273950258,0.02399578766436447,0.032325380447847205,0.06809515637254701
A02,-0.12123989206338787,-0.033394457848762105,0.21857663108115416,-0.12088646765899891,0.0518319249663807,0.0640956496094181,0.09166848056637766
A03,-0.11434441527749842,-0.05257745811065173,0.06868816059012497,0.15833331446482396,0.10760141359065503,0.3134079469009652,-0.03193599319455309
A04,0.045870579443706976,0.24788082020071145,-0.05920447227296759,-0.03714104145800706,-0.10285406341803494,0.23124001435427258,-0.11593797923920424
A05,0.17968741118076917,0.1492626257982308,-0.003288880973393568,-0.02280430952910406,0.067919346510562,0.011386731677592465,0.05625907376165584
A06,0.07218980651918379,-0.10889130697442095,0.22027710562537284,-0.1377883237865542,-0.07444220066776497,0.06238836052458843,0.03584894635188786
A07,0.19438808939864077,0.060644470449056125,0.05247925159663458,0.06370981243531254,-0.08190950440350432,-0.04280351338121868,0.009131844655013432
A08,0.1150474984072497,0.08150248295264452,-0.23918247012848454,0.03170570021998978,0.07892328518198011,-0.022102126668061245,0.012208694505683765
A09,0.0901256837848494,-0.12053886511142299,-0.22988304219941433,-0.08952601030782643,-0.0008466335170976835,0.11210255673985486,-0.06010970775720584
A10,-0.09243030323993502,-0.11875093674547618,-0.13043168245610548,0.1287057279427382,0.2682223512909052,0.02383591927055745,0.09381245342951695
A11,-0.17638633105604132,-0.009047346235187308,-0.09698800434882769,-0.021949790974516277,0.05142996076885558,0.026045611120929957,0.15839465565339272
A12,-0.17044993480852622,0.011284980966777443,-0.024584808179714084,0.11834137465099583,-0.1321306438250326,-0.06874557792835878,-0.18735306412688862
A13,0.09221196451926385,0.002066474841178506,0.2747711377754446,0.0019145849009447827,0.09668542094994581,-0.02465880712320595,0.031442602579248816
A14,0.18373947507058322,-0.019598733769175654,0.043561519035858594,0.08171747926743239,0.03636225284835078,-0.02203049167794993,0.17284359032105068
A15,0.13559924995013548,0.11361576275062048,-0.002953112236711857,0.1931690504874246,-0.07607397074600386,0.004640933290224682,0.26033691874158227
A16,-0.17610983246509374,-0.00931612495771866,-0.12752065986903038,-0.12083666028053106,0.024116579746240725,0.012171824673403425,0.026446561530484223
A17,0.01437587559955597,0.2466161437444519,-0.10571775713288734,-0.14053324030577052,-0.08318746332099394,-0.02368146528838446,0.028012750045373194
A18,0.033566185426427586,0.005741902141932603,0.15937232018284486,-0.06877635424487527,0.059275105516790244,0.4197577434027892,0.1935777721308537
A19,-0.06196601097398364,0.02790793333248588,0.14592795329857594,-0.07005427565499042,0.06160964741454134,-0.2906174174277272,0.18397255522371855
A20,0.012029388498388128,-0.17231610762853694,0.16375428536292638,-0.09662470083923363,-0.15146930953738647,0.1739964259981111,0.011537802555089748
A21,-0.14017593058138242,0.08868873310039091,-0.13030416393720243,0.060815248754409044,0.1606663847810461,0.11999972882375556,-0.023461817895112386
A22,0.006818544203966792,0.24591693285917826,0.1613268986738166,0.007408216966698707,-0.1329926693922275,-0.0378422818011257,-0.11815325340844937
A23,0.1495421576951842,0.11256860814966548,-0.15591410609974563,-0.07648783002959371,-0.11166409191167395,-0.1158661263089587,0.055927493686170456
A24,0.06854165375635589,0.12081135660883652,0.03258263521296794,0.026002519044283988,-0.3335885974966706,-0.1624038643489675,0.19606535784610485
A25,-0.11799244660901874,0.1646861348580011,0.13676110719216034,-0.16353047999216827,0.024961200660149663,0.09866982947735382,0.10041593177329199
A26,-0.03427726071504299,-0.1800055449599122,-0.030494902404142727,0.28920469322426423,-0.10185276276676576,0.05582915966437487,-0.020448901884603844
A27,-0.12226103611974398,-0.07319108860015508,-0.1898032812166863,0.05152954397644162,-0.21448454430131866,0.09702674110122128,-0.059176557258160165
A28,-0.011716373720833523,0.22167593957790743,-0.028598970578269645,-0.17301590174190082,0.18401537930101375,-0.22913665809633593,0.07789809770921934
A29,0.026890407797879975,0.07151675863550072,0.12789741058527773,-0.11062002545738983,0.3454852429508252,-0.032213946257631354,-0.21227321829256976
