embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,-0.09502849454666677,-0.13665506883016312,0.24248704740174906,-0.07912634522968039,0.02079398751607946,-0.13039649883010576,0.060862242614555084
A01,0.004081954588359804,0.1987050462074993,0.061819725248330376,-0.11454612237484436,-0.2000326292294196,0.09155299955640095,0.17567698293098655
A02,-0.1832712021535109,0.006886514162767032,-0.03287010678287783,-0.05527555641589044,-0.08181931259064125,-0.04774682421235922,-0.06372500822716173
A03,-0.1515468135820241,0.11683459118179995,0.044119952459900524,0.03050664491202265,0.1599937443609574,-0.009068322414216234,0.024838766948811916
A04,-0.015655435439517144,-0.12263508474987171,0.20280489853143108,-0.14123686437075972,0.36688331150186915,0.11433874632428198,0.05759765247141696
A05,-0.06120073269223328,0.21887994937128055,0.06051551705884872,-0.002314415949262072,-0.006316455114642017,-0.051689680557758466,0.055481910521021575
A06,0.14301188470458112,-0.042968178914253655,0.14169299804537017,-0.040878580866045455,-0.24549734594338596,0.23475754940465426,0.14008490368285567
A07,0.14625273130253383,0.0747288025557823,0.22964305316635927,0.004909060549456126,-0.0018943187744563383,-0.017276080127353377,0.0015142928743120398
A08,-0.01330616123337399,0.22645220076320766,0.04619715219153189,-0.09634886055155481,-0.018921132081475833,-0.04888827677617527,0.11445440616546587
A09,0.11267350396000962,-0.14812380372988454,-0.07405075684288402,0.1410913698531895,0.19133383142993587,-0.08062598111021729,0.011321025093892545
A10,0.11432696808473507,0.10496615510678894,-0.23503037757463782,0.022549032633529677,-0.06698237660706682,-0.1418107825478186,0.1315175414332734
A11,-0.09590550320150829,-0.17225833404828128,0.013280416676789808,-0.15282087806861738,-0.12942850153454738,0.15659682424583857,-0.0189931905681147
A12,0.16421956658484796,-0.07064438891981316,0.010765599574431474,-0.0663222955246655,-0.032129127011068806,0.19639645246384116,-0.14728607363165303
A13,-0.13112556465703953,0.08579103913743671,0.12187621104407259,-0.03228593235473855,-0.31819084533580083,-0.06315733729484464,0.13527828067407335
