test_city,r2_loco,n_test
atlanta,0.2353,223
boston,-0.0743,191
chicago,-0.3404,872
dallas,0.2401,449
houston,0.2493,549
las_vegas,-0.6212,458
los_angeles,0.1023,1080
miami,0.0469,125
new_york,0.0116,2088
phoenix,0.0392,332
san_francisco,0.008,188
seattle,0.0365,188
