embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,-0.13234616912999658,0.18245126392691188,0.0715958083714019,0.036306476253430114,0.06917818070738689,0.13715702206397898,0.07853392849490637
A01,0.16128041605597787,-0.04313375577831535,0.10481731551500187,0.14961158458386448,0.014143041917340372,-0.050445037110382125,-0.020501286957312192
A02,-0.1642297380674403,-0.031497091971557145,-0.09138880192425441,0.09438892506623671,0.03976127584687768,0.012342130691085279,0.06154317640185581
A03,0.16499522466348754,0.018276166076776623,-0.092297639083882,-0.0816810208960426,-0.030490191811522294,-0.1056980937244072,0.017571642435087353
A04,-0.09600180210977872,0.12635589308071016,0.00872427432133771,-0.04081344801089379,-0.00519885548849177,-0.15675825258202486,-0.12058219656196997
A05,0.046257921628107164,-0.15179969861207399,-0.26928528468119983,-0.05365467641006283,0.09209649020478305,0.031632103410215995,0.2770641096909857
A06,0.02286912092273095,-0.004491150608812933,-0.020392070122312075,0.3989322455654716,0.29570617454222903,0.15033160863547787,0.06866245450216135
A07,0.16490452975410422,-0.013904944545439567,0.13516558924011524,0.030174570011312074,-0.013966648280332006,0.12389733311248172,0.01782622286333746
A08,0.17239863517430978,0.03153359655866554,-0.05272441798483127,-0.007205260936314933,-0.08724485230227064,0.08334830041534569,0.04820799318087651
A09,-0.1560785502781755,-0.08805103177981972,0.06868078911136294,0.09340401643874999,-0.06123984617112588,-0.06023319521122217,-0.03201413789109259
A10,-0.015231291804561503,0.21749462988667534,-0.0901452311387451,0.15515613484955854,-0.09394996087576728,0.11042098107929588,-0.17041164996736624
A11,-0.10955021517269765,0.07645473574792136,0.24941877839587795,-0.041380419074169096,-0.03807376709924361,-0.06430332868491938,0.1236055986392739
A12,-0.14386532376169806,-0.10484789785362623,0.11656672665074899,0.11039081159595035,-0.0013357044332034072,0.1604839730527759,-0.0035052777370177535
A13,0.1502856935866333,-0.03401679407079841,0.19012463374380217,-0.03739086063467017,0.10929157050778167,-0.035598003057902734,0.07566857077910794
A14,0.168069413866335,0.015695594957857807,0.008324140606263708,-0.09587486249725807,0.08147900801210033,0.10619197029313424,0.07433187105895245
A15,0.16259741878300688,0.09823007072702036,-0.06815635620355323,0.01553715485750318,0.06345089218115994,0.10189377217966421,-0.10586869743830656
A16,-0.16940974093842898,0.055067376287736475,0.06670288013748396,0.031447030086705435,0.12090546372517856,-0.05076315437916048,0.00632716363522788
A17,-0.14486913592551948,0.1103602219262813,0.010293513959327939,-0.10752933529559729,0.06855234124634793,-0.024279081633092496,0.03608238240845902
A18,0.03892973952474618,0.1388778330208787,-0.023339814401145603,-0.171149425173037,0.3708358665945861,0.12897458631677236,0.27333954483982587
A19,0.03775505256944517,0.17488725877824204,-0.16705918459285912,-0.05249286300886904,0.25013826938133177,-0.10544408576301965,-0.1350894612210022
A20,0.013698908511323514,0.15448385406841086,0.24322693504328488,0.14724086460913574,0.1695619696441483,-0.012494995868877994,0.02617773008645048
A21,0.0995833625027833,0.059700288122865014,-0.2367811536449058,0.10699724902574527,-0.15893599256191515,0.013965553257405616,0.14028170668770165
A22,0.1532925313541494,0.07387725294729988,0.08640107109147234,-0.13067322300388123,0.08265040071200576,0.024446508893035533,0.13803167553838244
A23,0.15943707168102975,0.06677468339347195,0.1034638505558542,-0.01677135588312411,-0.09085541538194314,0.028112608669003513,-0.06401906654083984
A24,0.12307777990403353,0.12396127650007366,0.10638988426166962,0.22317046054022596,0.020412105571363547,0.007170801826961561,0.03179564498665248
A25,-0.05837668815536498,0.1235443014435594,-0.2413182740361322,-0.12306111136193751,-0.05836048620344804,-0.14145643673142194,0.2620328618217543
A26,-0.1494377315805833,-0.01502798513527291,-0.14934482801368856,-0.06271203876032053,0.0973141389427141,0.14048018499888096,-0.16542891021106892
