GEOID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
06075020602,-0.0035928323640179896,-0.006087260489652358,0.0018940622667782624,0.004706571236448848,-0.0011496138181985738,0.009675455793865431,-0.002875462855256866,-0.0010929631112594203,0.012325844126233984,0.01022421149934861,-0.002422738384642852,0.006935894843862295,0.001532773264688239,-0.014517670919181986,0.005140112420006408,0.023859177772985712,-0.004834131265118284,-0.0031670200908367426,0.003989659574162297,-0.0006370196395794875,0.0012749329604157605,0.0019444619392415452,0.12684637909187294,-0.02179566333526292,-0.002104467157583503,-0.010517605719833062,-0.0011274164647337608,0.053776744539578904,0.01082799963541989,-0.0007037254596669404,-0.046636416195191446,-0.011027852358182337,-0.046860491200821246,0.0010185802007190202,-0.022848885618388687,-0.0128448436637008,0.02973195301984204,-0.04071349056220307,0.011334442032277632,0.028125196304610287,0.27862870174756665,-0.004439426071892676,-0.009039084220796285,-0.0024997015403577664,0.008860200093250604,-0.029706564408194008,-0.007741476872322591,-7.051785957429621e-05,-0.007534639762334415,-0.011706192740691821,-0.023264398196701203,0.008816127890279041,0.02361822844533752,0.005813776308252623,-0.005646517514112506,-0.004623234334986746,-0.010545344819261311,-0.021469655152648263,0.008521385499066095,-0.0026820946818371825,0.01195293174216571,-0.005836089409395765,-0.04532525651102814,0.011380021872114645
06041131100,-0.0027164242976899385,-0.003695676786643089,0.006264876592501684,0.007480750565788586,-0.00143877379649662,0.0035745281671042206,-0.003296287024007859,0.0025951229266843252,0.002039324402604619,-0.012274818010444728,0.006579999106304271,-0.014412271795856375,0.0010798337924966361,0.029136350230905394,0.007897486090035462,0.031676008510988916,0.003735127122052323,0.0023524695319884683,0.003058639879849167,-0.00020038176611502178,-0.011094825995602072,-0.010181986166237486,0.09647602575881847,-0.07800611124532816,-0.00456204562615658,0.003863719689631979,0.0007105538224996197,0.1106805668586305,-0.010809956576622162,-0.01807334059147354,-0.05811382480568326,0.130231000277507,0.016431294157918358,-0.0040644337254850445,0.10073519315344334,-0.03973566074274353,0.024356894004025985,-0.036708960359114584,-0.006181416800707574,-0.02522356986898009,-0.14936923226081922,-0.0012348098672658341,-0.004797460510972672,-0.00245241037583234,-0.0011506787331528121,0.013743017965791316,0.01089664416939461,-0.010703565490506564,-0.006839564007846351,0.01741862716820094,-0.059744606293902616,0.009018289307430403,-0.013860071537171803,0.00023039535732973508,-0.0007254589508878834,0.009479502797123281,0.009053984144299962,0.1007115403895012,-0.030366434435712457,-0.0012601833033811258,-0.0394248493055775,-0.005785918798026473,0.10827424073054386,-0.01863516604192399
06041990100,0.0249931670763344,-0.0038197583266156724,0.008234639949213456,0.005803355697586452,0.002158597025373274,0.06424307959187145,0.0003606734724975554,-0.008022975119959875,-0.01643037635907682,0.04740603809740864,-0.005647953019323993,0.0014522157596185308,-0.005578455397746762,0.018456105088544575,-0.005731030229080564,-0.058456069295977416,0.015963142458566993,0.0011109786778064337,0.0012709534631660333,-0.0023492335303894984,0.000990241619431057,-0.0004963013397843993,0.06158692351484164,0.1685240129712624,0.007144970702199135,-0.0031289627782171174,-0.005667951880019851,0.46979674522030845,-0.009944475990580109,0.0020323182114143604,0.6281918137274368,0.10799089132659002,0.27292854729819904,-0.022202374350535684,0.09518051695774978,-0.15315839918479762,0.06460070575373947,-0.06822207338723514,-0.01405471429149973,0.00371031712321732,-0.07360380948955814,-0.007438894046868278,0.03521483693048843,0.029707566533601744,0.00035186526710499956,0.0076782296611114,-0.001877234361493737,-0.012635953716977087,-0.003979697588444221,-0.0026270539109173093,-0.03212340564764308,-0.006492114159925222,-0.004769550399336273,-0.0014421962512780784,-0.01941614487368615,0.013045382768983977,0.006185050963553182,0.0802618447422071,0.005810023385179988,-4.1816389699280894e-07,-6.355487206042254e-05,0.02270735085258828,0.08071918738777177,-0.0027697318260824612
06081600402,-0.007099307067685963,0.0010194484258587233,-0.0010094801018277623,-0.016829576804037707,-0.00682508373783404,-0.005127313399292468,-0.0018583139858743848,-0.002218645244889848,0.005247345618819086,0.012984042569910932,-0.005400937591015098,-0.028322289552137885,-0.0016252611128965335,-0.10876827782731677,-0.006192883957646058,-0.019344479688490044,0.0006338127808766306,-0.0118165166228258,-0.0015750857545747887,-0.0034772149173400322,-0.014497391398275574,0.002676022967019543,-0.21174168540212213,-0.16542701223066875,-0.003002739359641049,-0.014874791024943188,-0.0052674346338005005,-0.11454844736616844,-0.005440356851628685,-0.010462817471097938,-0.059390638932369164,-0.01873251191268894,-0.02441070633054841,-0.0005800510340164683,-0.02932089916284165,-0.00609989122077956,0.0022065811129937255,-0.03469943901065898,-0.004037885725643714,-0.12122831709181003,-0.21601125263730833,-0.004653023405800095,-0.0044542092016953945,0.0034529318602156064,-0.01313143231374704,-0.05992236950780967,-0.053513994721908424,-0.004997607067691632,-0.00547942701413211,0.005641075000685639,-0.09580684210232764,-0.008696964505414493,-0.026678569519775486,0.004643239005174764,-0.005783552596274903,-0.003990584995539052,-0.07202959345541769,-0.014386066872817363,0.011677084843667033,-0.0025480291947752687,-0.024166327214218773,-0.0031118968257191526,-0.019242626698412965,-0.04076574813734304
06081600401,-0.00289648555560295,-0.008291276121816885,0.002337429217040908,-0.014362778261548964,-0.005115547061991312,0.004856947435799245,-0.0038149740922123463,0.004604545391920491,0.006167425228994873,-0.004701245627100582,0.004781812869242478,-0.029771531934583255,-0.0010535688652205453,-0.11121641178698698,-0.0004764778392690812,0.012892086725793913,-0.0006960979367240079,-0.005172121094208648,0.003707531702006178,-0.00819177796353195,-0.0072578334200219,0.002019083684539881,-0.21230631325951418,-0.1583820074603912,-0.002581157674993667,-0.012959694673940047,0.0015958591204345372,-0.018190453845278235,0.0020497287932253858,-0.020778237665043872,-0.05338842251250767,-0.006126147775211992,-0.005639379775710936,-0.002441654542871093,-0.04357229616199196,-0.02359297441624575,0.011812623438658144,-0.03313435796560175,-0.002423753567141486,-0.13218637381653048,-0.24141956765658887,0.0005360725474760621,-0.002082564841796189,0.0035672452751871024,-0.01115639536428719,-0.05883269988339254,0.002927536355297277,0.00034057437164508646,-0.003973074112636057,0.004101777426301111,-0.10554036272859553,0.006592770214331845,-0.02969173593377508,0.00957327706219675,-0.0058343931889467725,-0.00441476999217484,-0.06238610824257764,-0.014029152317786639,-0.031437425211938104,-0.004162430614674164,-0.07662528212320929,-0.003690525742536139,-0.005835946545507393,-0.023411496197663667
06075017102,-0.0015435515374980788,0.015167502073218687,0.005271469923540142,-0.0014216724551742123,0.00024279951999372321,-0.0033665133930386457,0.005497864196341683,-0.0005333830846245788,0.015598752146781594,-0.006006548535619935,0.0032752907912095173,0.0004325491347255903,-0.0003809518533811602,0.024365301962767236,0.003903719308425468,0.025295538446544762,-0.0004822571942844778,-0.000866199408921898,-0.0005839025594415455,0.0036868217732722755,-0.004252192365945742,-0.0017788032587139182,0.11003636233740516,0.15299594132951636,-0.002455583314510409,0.003928126071703902,0.0009549129795781146,0.10398689102921987,0.013340169482027207,0.004186346931494961,-0.039963621513219916,-0.010835109772813805,-0.06470087423489036,0.0003738209143789144,-0.008088373845912671,-0.012994307306920694,0.023544056754014015,0.06101543649115214,0.006647518993214254,0.015290891607536149,0.21299448487909806,0.00450003276996212,-0.0007183284477932109,-0.00033059352146405175,0.011296160462537315,0.012556394748045964,-0.0036763976739797076,0.0032377903828511184,-0.0010102502136642726,-0.0071213544192313205,-0.009972396642715877,-0.004021760179003373,0.007569402425249987,0.00021418154067072147,-0.0018628697130467424,-0.004459254364604424,0.020794530606307773,-0.02197758851952756,0.004982198590558965,0.0003865965026437725,0.010016083914848876,0.0006203208773943988,0.11626859533519049,0.016908825436863943
06075012302,-0.0037095978589045957,0.005473121276654076,-0.0016830288508070256,0.0028241060462374655,-0.006137808970684195,-0.019493501406019863,-0.0016709697563929038,0.0010303167095576746,-0.01657724515633276,0.016041620061459844,-0.0015543333938869875,0.0037151082380452063,-0.0011970035191890727,0.027462303255923137,-0.005361362237765924,-0.015478349873835623,-0.00035130721440159015,-0.002603114247908285,0.0003132679044437646,-0.008434367089686179,0.013189008027469395,-0.007171263936751581,0.07183082497493669,-0.020240056014610968,-0.0004147142091057801,0.002593231790572079,-0.0010505110953165442,-0.13363345742692928,-0.0057913381464030095,0.004685412011425782,-0.05427674019551845,-0.006054771183417846,-0.033698724150071656,0.0014055163015264701,-0.007196911150874722,-0.0035281857707789442,-0.035580285693592284,-0.02641323842771513,-0.0026201438636983617,0.014175374776883378,-0.09791652795032839,-0.0007028396279189317,-0.003868833098041972,-0.002190600383653836,0.0016821552396045303,0.008929676375772449,-0.0011878521200704038,-0.0038075646162827317,-0.004733789340091128,-0.007597618522180409,0.014785981385710543,-0.002983750693894355,0.00949012206844066,-0.0013363390499443013,0.001728916494090591,0.004388322460867541,0.01499881397464603,0.004101719097129766,0.004294710672345412,-0.0016114650131951402,0.005993694495081867,-0.0032101781866117323,-0.037203025251671795,-0.011625761984416966
06075016801,-0.004059624479390538,0.0017946562298897094,0.0010872483207499078,0.0021275143986320493,0.003425190678880441,-0.00678522492199072,0.005250656545178693,-0.0004887566883619869,0.019246099355503428,-0.004724608795579716,0.0026556418566348683,0.001385277507395346,0.0006334550045165985,0.003382955204160222,0.010003235988496305,0.011935821208709283,-0.0014459995620060325,0.002151405684100946,-0.0014016557785839327,0.004761981106699085,0.011112414117671672,-0.0019176724377052287,0.08229658532533445,0.05350173916179968,-0.0008683250957952404,0.0019487882425875637,0.00961333847635332,-0.07596430306893133,-0.004939867367471316,0.003349919481530613,-0.050428377642844455,-0.01207601003403421,-0.048708782692939934,0.00015982404606882715,-0.0062389405769338125,-0.010883733446511737,-0.03761759441532398,-0.03214905661052203,-0.012502885768602387,0.01619427685485208,0.13873319432211473,0.0010261714983397295,1.18620382199366e-05,-0.0029041292488009643,-0.003300020679184949,0.012788231492360323,-0.0016833998969868218,-0.0010798534188053216,0.0014455542339730056,-0.011810056658775433,0.013842537387033298,0.0018218958106215547,0.008986081723742554,-0.0016777457690568182,0.0017864494852063413,0.0014852370214935209,0.006482597681168094,-0.013432076734964628,0.006587703584989034,-3.669588018207348e-05,0.009597790432252666,-0.004928183401502823,-0.03442625447312109,0.013064386750003097
06075011902,-0.0045039791360350625,0.006200631898307334,-0.001078851244694234,0.0020341732067844795,0.002211545439655192,-0.0163556202753931,-0.005147807142952105,0.0007183356533512684,-0.016493423256042365,0.0039177640540445395,-0.002524046459993209,0.003211668511748398,-0.0008886128918651558,0.028345719001890635,-0.007101025684369859,-0.013937521702366854,-0.0011376759805801055,-0.004740750850050709,2.1015230220730444e-05,-0.008584717014519246,0.013809491740279898,-0.005307275627593692,0.07436945340693552,-0.012399392137525167,-0.0005323190260529482,0.002243405698343579,-0.001610888289576269,-0.1346362035944622,-0.004755603947790526,0.004941695829038734,-0.054651016960196676,-0.01053992694946233,-0.03474949181821332,0.0016081889443907533,-0.0050084984847537425,-0.004500856241668319,-0.035937567506402084,-0.02813953824205813,-0.0038090518685043387,0.014337585193778512,-0.09589689009003077,-0.0007269418007338674,-0.004628266671818384,-0.0021607433774148066,-0.0006636901614433796,0.007905287235208617,-0.00021551530072136345,-0.0035164710076660177,-0.004787939890131031,-0.0073772382807047255,0.014428480079023498,-0.001092884344696027,0.008370562146286948,-0.0010578281868523862,0.0015593421375454642,0.003222938475207416,0.015380159702103421,0.003918744725497501,0.004705322749165132,-0.0020764960888788944,0.005523679720351818,-0.0028126036870380765,-0.03314891895485347,0.008624840038407687
06075012202,-0.0042528615167824295,0.005768036594238002,-0.0022083199832839077,0.0026519646137754477,-0.005079031822729692,-0.019232574663010784,-0.002096072575425218,-0.0009703535900346604,-0.017511099316661033,0.012850861655521016,-0.0018853208043027342,0.003850052673411772,0.00028908062890449347,0.025963378145268053,-0.004302983979346008,-0.015202329147326304,-0.0011100702512663876,-0.004201532715603112,0.0005149879389753056,-0.008372546015522769,0.008038537816032663,-0.006557196724896808,0.07094010945635278,-0.017154458729028668,-0.00044112248352021823,0.003197650371204232,-0.0007992219977993499,-0.1297337187609142,-0.006118386482773723,0.004176990606694645,-0.05433290837839665,-0.005769063386852551,-0.03385020880838263,0.0029936433579539744,-0.004920246655121884,-0.005162387245382508,-0.036894018901934826,-0.02787299438135441,-0.0026162965531699354,0.013889002121481118,-0.09696103645725974,-0.0003213979480236745,-0.0031873053476442984,-0.0011835845979095555,0.0014557363018274094,0.008348810404690052,-0.00018087359603726093,-0.003627983639204282,-0.004481867622268284,-0.007681551607995718,0.015371208546268826,-0.0027190170921660645,0.008876491902639352,-0.0015839669094085502,0.0033264341543438763,0.004698309663567778,0.014537858568659938,0.0044222876478938284,0.004278319918250306,-0.0018047253209608133,0.006076609292018592,-0.003294277047179971,-0.03668629066853375,-0.0117570172146238
