embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,0.17963949042651392,-0.06214436703162735,-0.15839046286332792,-0.008102829706239824,-0.07773603804441928,-0.10057499001537676,0.11740047670967807
A01,-0.18542685352836347,0.07531266435064751,-0.054586500681473075,0.024227246937797306,0.13635009309622867,-0.09751508326931271,0.02426710850890361
A02,0.07496922604097299,0.07285429844700861,0.2737653052019678,0.03664353010162828,0.19516062388675084,-0.03588922756074417,0.21138038798160821
A03,-0.12612878752311657,-0.12933395598552613,0.1841999859334202,-0.016774274663080367,-0.11133135312052689,0.14634922313047735,0.0025980646952249186
A04,0.07390033121871718,-0.11286385759210892,-0.05949427738565989,0.31976010708818364,0.016842223157354702,0.11893822469827586,0.016038409171142916
A05,-0.15332211707086066,-0.10455398071191604,0.09250981601479151,0.18783969186050756,0.03584752616484119,0.09950462992038737,-0.022709754078070663
A06,-0.1502866690891115,0.07864326905578879,-0.08987099401245832,0.1668747367218256,-0.0961172256630933,-0.083612135597449,0.0974572824501925
A07,-0.19638955879796305,-0.02215936236200773,-0.06213343732316376,-0.07357518084910407,-0.035397568799402375,0.03924894570002385,-0.0654019555880395
A08,-0.08951953024852366,-0.2324119274769608,0.04289742346444536,-0.03968510064934381,0.012247265541583072,-0.020402675142568688,0.09333489607685784
A09,-0.15247536045001542,0.1081615703156142,-0.18527822920299106,0.08366083778206958,0.06675960545444072,0.0375568453997838,-0.03588428261772477
A10,0.14358085032688161,-0.0763109553087467,0.0023520479448929095,-0.00881880555666563,0.17647741425335076,0.04987334753705346,-0.04456487835000033
A11,0.16330906724892896,0.05474187816531236,-0.030003329775619824,-0.2042279287973023,0.12601299149488032,-0.09620735701905214,-0.08067858510299675
A12,-0.010759484363268687,0.19267116882625288,-0.00523645402591471,0.04802975532513732,0.1342732023108267,0.04948997690948259,-0.35898565370241736
A13,-0.18721565968154763,0.01185000422574358,0.051132279164134445,-0.14907702349923183,0.014932468011504071,0.004801164627815094,-0.03226984080527589
A14,-0.14707355211994003,-0.05343791200783802,0.007956987848676537,-0.13771010807370015,-0.05406830611731297,0.044950570727428724,0.06448415272702653
A15,-0.07182281581103851,-0.19755825070393349,0.07088631135224725,-0.22320988067519643,0.08591807093954518,0.1131322463571603,-0.029022914988968355
A16,0.1919832895364589,0.07576430499997014,-0.044023381490981534,0.12775252503940898,0.011811560495114113,-0.013069550486965955,-0.04224384554275422
A17,0.1251864787526042,-0.04006425001043884,0.2969435578839268,0.037727042377563066,0.020839686813677,-0.014861418182885774,-0.04740167089240712
A18,0.09683442307048112,-0.1830373756536212,0.06880432955244939,-0.10474896247160483,-0.07695970383110225,0.13852689259893639,0.03842698494443608
A19,0.030502089385994652,-0.1473771296668355,-0.18478067653205874,0.20452361478507025,-0.0322763349592884,-0.021348457513720016,0.011243958875396122
A20,0.17183283718964307,0.10503938196821876,-0.05372797020218601,-0.11814414552503072,-0.11077232520634156,0.09436050179844357,0.11783679205397733
A21,0.02599544075964748,-0.10342225914375729,0.2369433805653211,0.050788913914910284,0.14748151319530586,-0.22615266689938135,0.04339447230993687
A22,0.047685714602608335,-0.19274420927239183,-0.00949696469459095,-0.2752885390516475,0.11939038307162972,0.021956378766720172,-0.05582464201265587
A23,-0.027814232609110326,-0.14428635051034333,-0.05307644900919638,0.007995168168429774,0.24588912890467876,-0.08023612326411798,-0.20078953481695228
A24,-0.015608067364795957,-0.14396938809657905,-0.24685081641352152,0.0060878608257555,-0.057916642306228526,-0.108057322737598,-0.04274878898254947
A25,0.0036965187124480253,-0.22036069738009106,0.11512014062641204,0.2240952710740309,-0.012523911918185505,-0.0502759558079165,-0.01747292535524881
A26,0.15430178324755114,-0.01773231342453538,0.11945550918378613,0.0784297576453187,-0.1886559454009233,0.16238846218204703,-0.14477238483100463
A27,0.16858255328736352,0.05445424862005712,-0.1451740077397446,-0.06263161079977975,0.06536064146097742,0.06165398213842446,0.01989172591838223
A28,-0.025916850708539056,-0.13517541556918022,-0.2573913472346611,0.021175043321379827,0.128281901262181,-0.13449011421016188,0.1722861650036112
