GEOID,PC1,PC2,PC3,PC4,PC5,PC6,PC7
36081003400,-0.28834742115494055,-0.257906369237488,-0.09048692289891239,0.04086358970008514,0.12278126427544098,-0.1669896047657499,0.02545211851946424
36081003900,-0.09534952157600336,-0.0033911213495427675,0.2451230005445124,-0.06990361424271778,-0.04212444531830215,0.13349030502423598,-0.14569063787648603
36081003600,-0.29084069898248216,-0.29497086247960264,-0.12456801184801294,-0.023315556343229953,0.09099651636390077,0.01241395249327388,-0.004362971078663446
36081003700,0.06887303408621286,0.05807858747469499,0.1587312808016819,-0.012576630328180358,-0.05380573535179315,-0.012652713686272556,-0.16162635505563316
36081003800,-0.3993865132400716,-0.3281040885339742,-0.07953098895953037,-0.16511511134688206,0.021755453471488304,-0.05247688325566324,-0.08766289869156098
36081004001,-0.3038919075860383,-0.23575821706318636,-0.13500976947804622,-0.6129711059651516,0.023455168155812816,0.002438570531982062,-0.1530273509233568
36081004200,-0.2633523243272394,-0.3792960733299661,-0.11741445375693052,0.02234148875733662,0.05309596567258595,0.2502126077558291,0.010701084522925244
36081004300,-0.016485522022608844,-0.11650731034768193,-0.07261382031299887,0.08885187501168475,-0.04514564359264402,-0.0671055496745012,-0.008832730924413851
36081077907,-0.2825223411976138,-0.33178351547625906,-0.31984755001599857,0.061227451411374964,-0.03369728270635148,0.1955498180782272,0.09880249644404486
36081024000,-0.4587110653846828,-0.05413090602030864,-0.09507849423380599,-0.11903439775925373,-0.08475516638753325,-0.32543930116579145,-0.01681461613897001
36081024300,-0.2125280100917724,-0.1363554960693658,-0.12840529840068388,0.07297543254222513,0.04549888664835999,0.019832428622441018,-0.07656142454279775
36081077908,-0.07934604426404544,-0.2667456334305329,-0.44853515528952653,0.16253122049176333,-0.05447863458485379,-0.1091814903832776,-0.13437178760964513
36081024500,-0.2124093791418671,-0.20054923943403452,-0.20910831520174802,0.13045199351196735,0.0012461921910248317,-0.1712017707497817,0.04894435432489502
36081024900,-0.19543247581928097,-0.11168585743950032,0.046069714829662746,0.1390699539311291,-0.059805055868530174,0.06392444602868937,-0.07930223217349067
36081025100,-0.1677490458724286,-0.1627408398425959,0.029702090938996718,0.14496507706883133,-0.05881515818333298,-0.02653902168864216,-0.058248045669393914
36081025500,-0.15100252376326653,-0.21352883138963988,0.15880289985927296,0.03778473096823585,-0.07109821392227901,-0.24109613902613464,-0.06569702422809567
36081025700,-0.29250580197724346,-0.16529173099029273,0.18284646116029396,0.11464342462751123,-0.11084055335947086,-0.40193956185613444,-0.06514889757990787
36081102900,-0.1219675791455768,-0.21143059476522175,-0.13348716639238112,-0.5927235570112732,0.032059055227933966,-0.12863402803046378,-0.05245547540165168
36047021100,-0.1083157556220465,0.5743933335433826,0.11175550827160835,0.11027879667664114,0.09994865304939081,-0.032291287896406104,-0.27830701626667187
36081025800,-0.2734870228005152,-0.1955590647658506,-0.31222700582827306,-0.5959857269166564,-0.02356005571617118,-0.2737539525895231,-0.12760119765040204
36081026000,-0.3245297336403143,-0.39780152285768977,-0.5035339643122787,-0.18869112824855017,-0.14705066072892348,-0.20749008044035563,-0.010883429921225322
36081026200,-0.2050011690643788,-0.14368423877206218,-0.3803088577325091,-0.7814925609346148,-0.05407312076143529,-0.17649516077994465,-0.08044109472416869
36081026300,-0.2032478771971137,0.12310199600370395,-0.04054280009540403,-0.036173505429233754,-0.01780553328244629,-0.152331960820575,0.08856752825353378
36081026600,-0.2367709845200078,-0.337492364918101,-0.41639836250105405,-0.025716993213537646,-0.07630991391143366,-0.203066128405146,-0.12047038656733619
36047048500,-0.13523564659891937,0.13513732503412287,0.15639942029760945,0.12380132831546825,0.0964228654513999,0.022060750242052236,-0.035327920703406485
36081107202,1.3245289947560355,0.5040667660223545,0.48662898677014294,0.5565658662822125,0.05911762104233427,0.4353449899104171,0.34584783175013273
36081103900,-0.1970551075656423,-0.2538864295721423,-0.2767879122405918,-0.011175657349094096,-0.051312935127463204,-0.14313010149195782,0.09408324824776997
36081104700,-0.22702102710949737,-0.3635744871861707,-0.13418291841139846,-0.019404095688609263,-0.07826617823218933,-0.17146281687362563,-0.0522372666578191
36081105900,-0.12647255241873764,-0.2305790203342831,-0.1569579830208073,-1.0171860909667134,-0.03491263783265031,-0.15915730627160896,0.034400899442181734
36081027000,-0.28671290832280233,-0.24647975565614022,-0.3968354026225626,-0.25231058603043344,-0.07150721916866014,-0.32326977874366153,-0.13001040603940062
36081027200,-0.3398035145087657,-0.263489940995291,-0.36852955743222243,-0.525630347691298,-0.04999480885752421,-0.2494661052297264,0.031605637826860634
36081027400,-0.2308281556366362,-0.13411838542046592,-0.4494573468855382,-0.7075020419649491,-0.06880039081484221,-0.2217450165801298,0.03812140861100979
36081027800,-0.2892143561209727,-0.317994777536539,-0.5399289297783411,0.018888467169294203,-0.144420352357619,-0.20407918371028308,0.04809283225626887
36081027900,-0.25440412314657385,0.019141767190682772,-0.21801457607501207,-0.06269962479519244,-0.14586272552790336,-0.12311526597743278,-0.09238249293280955
36081028000,-0.4299773264376596,-0.3447220086726779,-0.4185847118010357,-0.12337565106473422,-0.10540953028768042,-0.20361499255070162,0.11788560215971383
36081028100,-0.2951907249026538,-0.14152173171820534,-0.25169274209923004,-0.09128407541694122,-0.11725907815237332,-0.09171844525154667,-0.11844562337654758
36081028200,-0.254126231662326,-0.07253501798353232,-0.3295353949714069,-0.12115256385566779,-0.028879319966038725,-0.40342556299519455,-0.023420771184817054
36081028400,-0.3212330324848982,-0.28317841738393196,-0.4470725184555189,-0.1411550712108943,-0.09062438920319066,-0.21578095427731148,0.010011980999936169
36081094500,0.730479119507422,0.1817644761754289,0.17456714727570805,-0.08802130774425225,0.011779135603756404,-0.4268613239512449,0.1261649666676303
36081094700,-0.2573947639547926,-0.1897972820773364,0.029150393842530205,-0.1358064765251333,0.21441071518692129,-0.19608132451684449,0.3773474640545061
36047062000,-0.058224834693534934,0.9965351987550647,-0.06421106528863002,0.013517284162032206,0.04103789537469754,-0.13055648878741297,-0.16763603719271572
36081097300,0.1618761890375511,0.4792634114617196,-0.1691317278229746,-0.22794825670688457,0.004679629278794424,-0.13328969714442832,0.38658594510093447
36081098100,0.7506193239842586,0.3765731281734912,0.2302002064041577,-0.19892945402638726,-0.14365266737638496,-0.5236492854981686,0.20633318064003825
36081098700,0.8336244569405116,0.2937065933943295,0.21847476362126234,-0.11263595874379037,-0.17533219903085176,-0.5113261191290803,0.1698835662922684
36081099100,0.20205911938637988,0.28672394670111895,-0.13947670561241615,-0.28714834033556524,-0.09191467298274204,-0.10404004419264752,0.001069635455654403
36047080800,-0.1467500647909192,0.3966996931633194,-0.049729618347814704,0.07048587336563567,-0.011705294499971763,0.011495671066549654,0.0779552636654741
36081099900,0.5199499939918183,0.11119900396765656,-0.17761497281993852,0.0988052136683791,0.20162313300626505,-0.08821664296713401,-0.5549695935596123
