embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,0.06489611040232159,0.18401641882310388,-0.03740192218923272,0.12171239215713672,-0.29443705778899304,0.09355470544673115,-0.10046352375021557
A01,0.012350103019412417,-0.13913779460454445,0.04250480764647875,0.2676269105465169,-0.12094996950933108,0.20662306994613927,0.09989694626113055
A02,-0.18321343470450424,0.09622690344090744,0.07938830872721907,0.01565087596220721,0.029659831930908154,-0.047278857800421584,-0.08102919074937517
A03,0.1334812846669643,0.15496799130795424,0.01913270492526689,0.05637402334703251,0.19733124379451888,-0.1007271573312412,0.10091809984248666
A04,0.11244810103565606,0.15439079830930325,-0.12308491367799512,0.03233394993732874,-0.13264852390375836,-0.12230296771103458,0.12494106231032964
A05,0.19440820663764974,-0.06411507951957096,0.07847951380730622,0.014651959807057191,-0.01551087502458779,-0.03505437085504737,0.02173001191017765
A06,0.06580104268984936,-0.16591287816615316,-0.1664360277303651,0.13330840060301796,-0.008398954829548944,0.05322197241759395,-0.0833510377969188
A07,0.11436413063499519,-0.1723984780326007,-0.038390445265048354,0.16753882429603278,0.15549497429010992,0.013892103716237891,0.06518620612292358
A08,0.10501772858146312,0.027974291792501403,0.25366616877752524,0.06530583331785161,-0.015516917038197138,0.04080190430077896,0.02871107576163527
A09,0.025164983516373973,-0.09775901253756045,-0.2429506647097737,-0.14946750710321516,0.16376121053058998,-0.059763413746949656,-0.03335453223051932
A10,-0.03097888637091312,-0.0873970433407743,0.09671194454755247,-0.3010776771073498,-0.13513633899094116,0.22416761026641174,0.2823579462726259
A11,-0.19478962288030366,0.06795806612831315,0.029327247941773597,0.05819483282275638,-0.10584285954759869,0.06720034932136879,0.006638263722327953
A12,-0.17043053074323947,-0.13064324195676524,-0.06495640370557135,-0.0410225399711798,0.049462253556397905,-0.059941659306166975,0.021877580667724772
A13,-0.16610496276417158,-0.06850691646224374,-0.026108749172520457,0.22288950602509391,0.13734787666918236,0.015856539545259757,0.02404022237933684
A14,0.15088994357733812,-0.0794659317467623,0.18051274301533127,0.029893694518676826,0.021222313547107893,0.09744101250634044,0.010915190861841976
