GEOID,PC1,PC2,PC3,PC4,PC5,PC6,PC7
04013117200,1.1547545862732644,-3.516579298399508,5.609777129137109,1.1027581695343442,-0.5478807954870619,-0.43578823428308294,1.786429950594159
04013082016,6.9863953537521635,-8.306312247975074,-1.3698364414801787,-1.3797377315192108,0.5168338774551275,2.9098183259239714,-0.5292061188988779
04013104402,-2.155641771902998,-4.499637228969388,4.308853322079949,-0.31074698587634547,-2.6984744291552736,-1.2990478440837632,0.5869152630267708
04013104701,-2.524146265248089,1.3694001549583397,1.7965479690691113,0.5413841741418308,0.37879653401342434,-3.6182807486336857,1.3424458822579808
04013104702,-2.766952293855803,3.6187185410867193,1.546490200247433,0.8166566402363148,0.149378988402559,-2.911641499488504,-0.011622205970084192
04013112512,-1.4441549583585758,-5.364033705492108,6.699932810166105,-1.0099111149885707,0.21313941751415266,-1.6454213612640323,-1.7577373322482526
04013104218,-0.5000006436722018,-4.693379624582766,-5.4946350174912455,1.6045823768595153,1.023132482521797,1.4739087182973107,-0.6859178805230928
04013104225,-2.4808487766790006,-0.9304955853076221,-3.486497107382436,0.37723522002735255,0.4931287258704145,1.4434389742283973,-0.49054542361001213
04013104219,2.459686499322638,-1.3903170537302096,0.11486748855302746,-1.0045135186296947,0.39971692123261143,1.6528099132001683,3.1176195717448465
04013104801,6.060484422875455,4.049919945121062,1.0784046553844024,5.21867402590942,-3.127277056120782,-1.950929788296768,0.6509312857991828
04013104802,-2.754508995833706,3.1960128852790475,-0.35636991817745783,-0.5658786121846751,-0.2136839253429038,-2.0983129583548763,0.5431208755202366
04013104900,-2.7012158260089767,3.2001718700304904,0.144309018154029,-2.2564753915661897,-0.29772536766785884,-0.7831045140577957,1.240090862019193
04013105102,11.203963567709929,4.740695614624225,1.4180014777074552,7.9343597895872,-5.619674127127055,-1.3159822533164123,-0.3937939424043933
04013115801,-1.4355833691118145,-0.4016807987070063,1.0544528380499445,1.0520439350605035,1.7387672044068008,0.5167321583833493,0.566837690804931
04013082017,3.127692258939394,-6.598078199672956,-1.0957379859054281,1.2107322722213991,0.28054149909921683,2.5508755542413,0.7736057939502562
04013107500,-5.4075478160697745,-2.102617139951759,-3.1901534983533852,-1.3806881926878565,-4.127460448944601,0.5313162931292945,0.16006416520827996
04013107700,-4.14827607009471,-1.1096356615156207,-3.5050407202391307,-0.7392604736874698,-3.769206140324138,0.23735929345228546,0.736966228078401
04013107800,-2.5181693357072863,-4.833908277046858,-5.883750360491883,1.2316382989141696,-4.0144878989403905,-3.14524455485014,-1.6169503310862983
04013111100,-3.9382468395207324,-0.49179428612272263,-6.177910279100465,0.5993556794160884,-5.833465727288443,1.2481339037251293,-0.34511394488456854
04013111201,-2.1466747719012145,-1.879121238958708,-1.533153723153846,1.0297038228177837,0.06574772992312242,-0.10480361728575721,0.7899328641649319
04013111202,0.10095088571424692,-4.527185277888911,3.267978808486889,0.8796416341000872,0.8136461395646521,-0.7441115043274387,1.8516258427226528
04013082205,-0.30128075416136674,-3.438229965908556,-0.30744833883942857,1.1445028544040803,2.6319589076386265,-0.11030048841906855,-1.4593398818997037
04013104401,-2.8748683448379144,-2.0273445153938994,2.541011284828338,-0.9006421273094141,-1.399297642163591,-1.3229241052756444,-0.4898166686549749
04013105503,-2.895089595647191,-3.3253495495069263,3.6556313969573435,-0.3717432504578777,-0.3786290298894676,-1.552868143343328,-0.5276608110845539
04013109702,-2.7219874622926703,4.801000862519055,-0.0362055809669629,0.08066708654997283,2.355192478654142,1.4033771647452036,-2.196523178418424
04013109801,-2.2249072322163,1.9096066300217833,0.11878781213336637,-0.03529997111995984,1.1175610075867668,1.3034791051435488,-1.3426960568410382
04013109704,-2.955224144277549,5.539654840229827,-0.4597798923506469,-0.4567454326593838,1.7846443800095264,1.4011286789850361,-2.0706824777059873
04013109705,-3.24502453507005,4.244114600375998,0.6598105273373573,-0.8718831868921856,1.4639068470449599,2.1161808215535713,-1.2111424927850694
04013109900,-2.010344275659975,-0.8221603987458093,-0.821314614019722,-0.4063824017371125,0.036494879285524306,1.1294484955231148,-1.6082414035334947
04013106801,-3.00702743340185,-1.6844917040567573,4.132880121906333,0.18030838026043955,-1.2580687988364152,0.7024745387270847,0.10846269558936371
04013109101,-2.3341009375154713,-0.569274580095242,-2.174459984861357,1.7945247235320114,-0.7263572437389948,1.4343680765004172,-0.7173380501910047
04013106001,-2.9463577284715243,0.24806581161013083,-0.3947979659055212,-0.37620148816151533,-1.7732310326011513,1.8717917981738583,2.4774543772705386
04013616500,-1.8714727157745064,-1.3353946860618162,1.0442081569499262,-0.03889156523022255,-0.09378529271859402,-0.12365661031266861,0.31933252184015093
