embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,-0.07181069108997454,0.10748180756152101,-0.21408592630403186,0.20709285547761389,-0.09136554422504388,-0.12653341660039732,0.031030955492413897
A01,-0.09993013272469325,-0.17821413035673866,-0.04164447840446217,0.01021134289934078,0.10014465203199045,-0.2811888777454591,0.01729505404257033
A02,0.06231374699443515,0.1582544582434114,-0.18293515746405847,-0.17875070640312066,-0.08248290826258914,0.16495262370140926,0.09078678063525894
A03,-0.1291786132699003,0.07624454736653463,0.19431807499667267,-0.06697974443763222,-0.13981342389014195,0.18788862384985433,-0.053084085421454846
A04,-0.12949278092341576,0.12575463163609918,0.14624990063180857,0.05563546396027959,-0.17924275777190143,-0.14213768414569844,0.00554917849776924
A05,-0.17350709798827962,0.1456612651422969,0.015627935277247353,-0.016006700755852876,-0.018714966901818335,0.09688403093363727,-0.09951156539535015
A06,-0.08118809548526006,-0.1656034724419588,-0.12174838895491129,0.198114732853318,-0.08867786179176626,0.10476392064114262,0.03392414860850213
A07,-0.13797180868483974,-0.13133382753223274,0.17552145175081738,0.05692077353330662,0.09184083183635205,0.09903816127430594,0.18004353596323464
A08,-0.16753101181323454,0.061342882091165535,-0.12085369073820731,0.02552456188998847,0.2092652601539745,0.04886471652185993,-0.016469124443998683
A09,0.180386516720358,-0.019069071917171474,0.1858609829461401,0.05110731308760065,-0.0804852914894543,-0.006672629044765915,0.0015288430028930259
A10,0.12965663005971206,0.1184078836016438,0.03881582267560954,-0.05351201684383906,0.21110151258608129,0.06878575612609678,-0.015955421547719527
A11,0.17687198538060522,0.029353675996143243,0.021132264131933115,0.016711185938732952,0.20892200725481735,-0.10517440131454692,0.1761273980395397
A12,0.19966643257299058,-0.028711085725967124,0.101076398205503,-0.07146715165388526,-0.05875236043266228,0.025497932383271242,0.1381659451087657
A13,0.035140051686104325,-0.18828418996407856,-0.0470332532881948,0.033329131163570364,0.06317229003864831,0.06016963198758839,0.24756211980386086
A14,-0.19553074261688339,-0.01758357079874894,-0.12068631961476,-0.06218908770442845,0.1003252349701127,0.034997697159825675,-0.05155645574669118
