GEOID,PC1,PC2,PC3,PC4,PC5,PC6,PC7
06037204920,-0.27918823555873595,0.08918093508002994,-0.12683870724311724,-0.1598688893236538,0.07181724110689786,0.03141293097049441,-0.3524790784044299
06037205110,0.07815470253977795,-0.0951611285585097,0.15027905593035418,0.0132389820473693,0.10124920695357179,-0.20103212387068614,-0.40109609525080814
06037205120,-0.43304284449787533,0.1216906088344352,0.1070278390458843,-0.14394394235724153,-0.016258415163277518,0.0160939710796151,-0.2917255008162677
06037206010,0.03296852543119925,0.20493168387171773,0.757962185308234,-0.033697175158627565,0.29504806458037164,-0.05103791021245771,-0.12308517455383969
06037206020,-0.1377867643407007,0.24853826145608782,-0.0046939395096509415,0.6396650330952683,0.006273222355429115,-0.03300083645863619,-0.04738362440054571
06037206050,-0.12656092737334668,0.17367075242293045,-0.1866929250212879,-0.5758688225728981,0.07848623998599671,-0.2062041641980085,0.05588930351826558
06037111402,0.07106313419374387,-0.09832642455410137,-0.1457877837252228,0.3814131849812269,-0.3193216703074176,-0.05511608767934549,-0.0616435044796093
06037111303,0.06149590249645798,-0.04653176344275627,-0.15189737446256663,-0.05777025493610278,-0.16662527181829695,-0.04194929775308918,0.047004982505045895
06037104321,-0.07799510759708285,-0.2322633213634761,0.21831406435136422,-0.24126136907514267,-0.5381128806864794,0.18465361137647357,0.014214491627007818
06037104322,-0.12461719371862903,-0.07722778241561137,0.20961531574634468,-0.20123359806203772,-0.42089311603072366,0.15285072507490438,-0.04456367522867843
06037108203,0.7858649627462536,0.12459345547876527,-0.0318994760230927,-0.20575659967421844,-0.33893758818663716,0.1644346316286595,-0.050350678259860504
06037231901,-0.29679459859049045,-0.1623355506157839,-0.05007082315632819,0.05315493083075579,-0.4931923704968741,0.11977344244133674,-0.22004454748440014
06037232402,-0.06897194673495714,-0.1794852794994292,-0.0668949956618537,0.10324192545813293,-0.1307350041907552,0.037743327642379566,-0.15932228386303948
06037135204,-0.014229406422098042,-0.15485748362989485,-0.21218613344629114,0.3118382544491186,-0.48571399322362524,-0.08830370835939957,-0.18188103454694202
06037132302,-0.015011820363148114,-0.17747932824557863,-0.23439751078505258,-0.359790568199119,-0.4188995664129107,-0.015070793288048674,0.3039547467641217
06037135115,-0.16465565383136863,0.09342372785773256,-0.26188163757329447,-0.056298589505081,-0.35469407025538047,-0.11718400620439262,-0.2107612575745843
06037132301,-0.08528944708718181,0.06191349707232699,-0.2958621843109944,-0.4076846267783608,-0.1312448205388468,-0.037447836394360105,0.07513724409475495
06037134907,-0.19954240304779464,0.1155399287528161,-0.17381177571921372,-0.4902779084176991,-0.40354400558757597,-0.08770890259636283,-0.13660718677214756
06037119003,-0.038595598722902275,-0.1840061289603598,0.38557252509350454,-0.23158345097687918,-0.5066641593688256,0.14209049185812936,0.00276506641856535
06037111401,0.0599891527143854,-0.09035808307951304,-0.1275066142329828,0.15409728400397765,-0.2674752129972997,0.02289173567272013,-0.03662941244792352
06037103401,0.6551189734919189,0.09554148675393348,-0.025893992396931822,-0.08182102471676109,0.1851462680287079,0.4378460182214231,-0.04378318905762478
06037207400,-0.03184540157083347,0.15695985628079837,0.2013994188790965,0.23915616160962008,-0.13338047195810454,0.07489332153745705,0.34454939170984084
06037192410,-0.0711865870278847,-0.07504008593265445,-0.02584791134150084,0.4360174717186129,0.30805251577017007,-0.03832532398634115,0.6110939494356048
06037192510,-0.08706834146207283,0.09186594010989638,0.07237566039701138,-0.02704390969123964,0.28996226315254675,0.31029627373090385,0.1584549359924409
06037192520,-0.11673238489083392,0.008676928138990665,0.02742145266409825,-0.0394302770270698,0.07814877015934871,0.5086984577729478,0.12358077129175919
06037192610,-0.16763003726669007,0.01893664931767673,0.11157032621771547,0.0779345382117034,0.19234373214412662,0.22388987292617993,-0.1699110498196532
06037192700,-0.14468540717729172,0.09501079613251485,0.1642664463775416,-0.1328706389439285,-0.02931126905592838,0.18908475162710334,-0.08492935192010366
06037194500,-0.08446305700583864,-0.052595577471511716,-0.11073978886862719,0.3892310885054228,0.260813285616915,-0.04541193962369177,0.5786669506002299
06037195100,0.20458944105198215,0.15478371827573922,0.11256753123546058,0.4768954644934213,0.20886496718210718,-0.07066673588579184,0.08633468936289905
06037195300,-0.01425042032333358,-0.11492268550630517,-0.026422883359888124,0.40781972814593814,0.06926845225520922,0.2731269193466015,-0.11630106118202455
06037137501,-0.024359811387281258,0.0014676013829972299,-0.20481906838209998,-0.5228884134654815,0.14136607630086775,-0.22656157395922727,0.07092862151623969
06037137502,-0.11475776166017956,-0.010276308032633586,-0.2641008503347471,0.25475136915819097,-0.1957547343806804,-0.10760302971865077,-0.20835350791848042
06037195500,0.3920883185282049,-0.027267130314996443,0.18998158972287468,0.2433022785950007,0.23155215237956464,0.1262804727874395,-0.07967642052804523
06037195600,0.23060290978449055,-0.1739175240124921,0.17131120053930637,0.04876787772071587,0.23972493009425447,0.21770477597348215,-0.1135271226368684
06037195710,-0.07822042713410127,-0.03403954011397607,0.145044321266375,0.03948157898006176,0.2024715536026602,0.30416916113348047,-0.26657462954523553
06037195720,0.17046317603110298,-0.04741991303039884,0.18267028146028563,0.13232687806428914,0.20976140242559393,0.07936073962453898,-0.25139431790880723
06037195802,-0.059179261139570775,-0.030548041843884745,0.17580756233703435,0.22378999090837104,0.19223019658889642,0.2574751667626266,-0.29941265708197085
06037137504,0.48825537473393427,0.07194664777417722,-0.08832618522217771,-0.41412862162238884,-0.12295467502195623,0.28825409339899943,-0.11625535549726837
