embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,0.20391857629017376,-0.04135760291179184,-0.00014782553463656863,-0.004196939344539623,-0.14007316408913198,-0.103658638455598,0.005627752039910794
A01,-0.150282026176915,-0.07840597781667567,-0.15770705592815937,-0.09015826282083086,-0.10268839667564107,0.09616716512822251,0.18207431546812286
A02,0.07484782730953321,0.0987531582975068,-0.26473105515218626,0.12835344654691488,0.0032011939615481655,-0.10525867551619467,0.09626881334349803
A03,-0.15169975528850466,0.16858617876857518,0.03123983409471499,-0.06740385539933125,-0.02253944106526326,0.04494508492207033,4.658788162112924e-05
A04,0.06848918751380265,0.14682553353710856,0.1822124478978103,-0.16166092229184856,-0.0583427443062981,-0.10099431845575335,0.1838793342836161
A05,-0.06547626828990284,-0.0867750362064125,0.23773176188625927,0.13483763785777614,0.019847768617817493,-0.0713877131243501,0.27863305145015754
A06,0.010177896901442204,-0.10647711315477952,-0.08687851665130578,-0.24577039184541838,-0.2571976551639027,-0.10946881582329679,0.20844384676825617
A07,-0.17659168745560677,-0.051306288883290224,-0.003586710322127512,-0.1459593227248616,-0.19390681165275558,0.04278862043425363,-0.008276047989649413
A08,-0.18188337401696383,0.06669365053501793,-0.004675404628829538,0.17441631309273903,-0.05725231011680896,-0.008125083714519171,0.0021284238421115896
A09,0.13012499458746526,-0.1576325428376483,0.09010031819740644,-0.11295916985022844,0.05871811534747541,0.14416291483771007,-0.03156756563416003
A10,-0.1312415937216001,0.0545079411724753,0.048818871030137934,0.19131595101047758,-0.10637909960134638,0.034349277776971034,-0.25083596840698774
A11,0.1861264630602185,0.0245341897952067,-0.14922033029208945,0.03807477644125899,-0.016070821996609568,0.10063361128454998,-0.022556525894810386
A12,0.10101956581733178,-0.1848910128697166,0.031123564442850995,-0.08139948971422865,-0.03496504031205142,0.2119547080709725,-0.026145372028235636
A13,-0.07280870796089799,-0.0931688280722256,-0.2508066199589265,-0.09889147381861758,0.031580501049404276,0.19489778267841398,0.14961537311852374
A14,-0.03987943654064493,-0.18395539088679666,0.10512830311084109,0.17836873011110455,-0.08228300514787595,-0.09303073740305023,-0.05215932172653748
A15,-0.18720107922577753,0.10132862884157481,-0.05859973738033161,0.08710009364357871,-0.04551524810823883,0.022258449951722374,0.04777945773649958
A16,0.19070918802959622,-0.1063718668003467,0.05378416944241464,-0.011235297219669075,-0.04109011462198353,-0.020210096013970648,-0.001564286780279742
A17,0.14689232290207171,0.1511011657402487,-0.09241182842111115,0.07378082202299781,0.0034922165018262887,-0.058545891193701335,-0.0005048958448254722
A18,0.1299170640900354,0.07610868651136553,0.045984355461162064,0.13120594841785188,-0.11393452763054086,-0.035341748203133454,0.42005529529365165
A19,0.1344920260971781,0.013486592645540462,0.14856327525890412,-0.17116772270693023,0.04619906097114354,-0.12690326550229997,-0.03289556615004877
A20,0.004216717072180011,-0.11385625574299248,-0.2174781836226593,0.03331078195249019,-0.247228383265408,-0.15424801221497447,0.05299209146016106
A21,-0.023118914403564752,-0.013207606803061135,-0.053041031069204894,0.3367164798097132,-0.11685699658675859,0.19350052691021688,0.10860355135164332
A22,-0.11334923642091316,-0.009481237916803432,0.024915914864310558,0.24057778100733937,-0.11128467698082102,0.12611613683505615,0.21821404026894078
A23,-0.09703238386931767,-0.14450398848495102,-0.00198292454162764,0.21416272291073082,-0.14299284181097946,0.16009694149899814,-0.08196268886879272
A24,0.012125659482357633,0.11075316203441189,-0.09701931517643411,-0.27804800494752535,-0.2389221942914392,0.06623364048330534,0.057798589077932276
A25,0.1059762266457229,0.20055122340754736,0.07492792461718967,-0.022495175807497728,0.01900980071704234,0.017192379396420765,-0.026644297010297788
A26,0.10750600273504689,0.07582792487370414,0.2075765874444145,0.06095771957853717,-0.021896855870922674,0.044755738457062766,0.1824506861550049
A27,0.15709286209670428,0.13451696095847332,0.0021773685256449575,-0.065014202924795,0.05311392612508961,0.0706773938402037,-0.12060998343323362
A28,0.026358045755606713,-0.17509778957200145,-0.12214134654648846,0.15245124043160832,-0.016367939330141995,0.07974948700902028,-0.0935591643692757
A29,-0.06570780936292311,-0.016618223674562435,-0.2720938677762902,0.07450352235670678,0.14006644805136303,-0.14277474173555654,-0.13878980374754163
A30,0.14304489548566787,-0.00929425706029451,-0.21099298551683263,0.10691216032839652,0.15691380188438164,-0.08782329694813029,0.011302107405471419
A31,-0.16433622672460152,-0.12113131475389884,0.06333941841584355,-0.012051808886814784,-0.1151339648596097,0.030965597530274246,0.08484287269931853
A32,0.030620764102827724,-0.1997358621768071,0.04381627835761744,0.008643091046641696,0.1457710610576672,-0.08788883277880588,0.009289727727201564
A33,-0.14950127033408872,0.12414953660002487,-0.042854235200762036,-0.11492032002608325,-0.14831718944788164,-0.18378407655984721,0.008317676045325654
A34,0.10096580556675458,0.19709395114932898,0.016844345681255417,-0.043006169293224525,-0.16545884042696,-0.004830753414926584,-0.08810255541383503
A35,-0.17666536941751376,-0.08282267365888464,-0.016884056061458503,-0.009497654887428554,0.22842612413796431,-0.11201167355960882,0.003185194091753946
A36,-0.1714004961283727,-0.08163279896894268,0.16363180061674698,0.024937301786806216,0.10227818944891044,0.1001395341531357,0.011750750622628921
A37,0.1291808386622777,-0.09905077901439502,0.0035616145011167725,0.22438082113398486,0.09252799670267459,0.11237105134409386,-0.08778770207805647
A38,0.189192386130887,-0.027726617942712948,-0.006679995090674022,-0.06407430595984838,-0.07153406860369482,0.12184730085233882,-0.11628655558136039
