embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,0.19552534119087506,0.0011755317330067725,-0.06535863380182567,-0.024523072948779645,0.00383283096072187,-0.02867025751957106,0.1652194318799015
A01,-0.19190453424215514,-0.040066028669150607,-0.06567309599161711,0.02400694718857097,-0.07008538454961731,-0.11845323941927739,0.1060770014756478
A02,0.09418344755884783,-0.05393704726546842,0.23132590837404932,-0.13731031131832064,-0.18658041063603903,-0.11503333319305126,-0.09997552082295491
A03,-0.030059049728658065,0.17238774462805928,0.17737323417926032,0.02466912809244884,0.14482501792601749,0.19376713568000806,-0.035914239832623096
A04,0.09253548571121353,0.14338608161465455,0.05607386608287748,0.05391939048532213,0.3241640739280794,-0.053469276910149605,0.07716649475022908
A05,-0.10744440429494471,0.09382772943784323,-0.02943604807864996,-0.24534881599082636,0.1316307909024508,-0.10378465202159573,-0.12944098430695147
A06,-0.14848247755951993,-0.06793700226081445,-0.06896060706558295,0.11645561778967062,-0.0015192944126325991,-0.07931708129169326,-0.16240527271605754
A07,-0.18144961151409844,0.10858551240725518,-0.07267806678947528,0.050142052104486246,0.023596247168222572,0.0932637819419737,0.06731773951914297
A08,-0.039403650089229365,0.22099868479492188,0.02655736977702839,-0.19840920655459968,-0.034582261459778774,-0.05149723934659883,0.0981862772741424
A09,-0.10113233868700468,-0.10676506968786445,-0.02812113583121908,0.26822474807268226,0.04888450974576192,0.1253084470007434,0.18318963361185986
A10,0.09759767551467034,0.05294952661398113,-0.2513524662555865,-0.012792628560088597,-0.14374772423858295,-0.04084126866288107,-0.057781729700507926
A11,0.16878856006807705,-0.085952807180877,0.04451958748603638,0.040847934873746695,-0.03604692481948246,-0.05816701376318445,0.29930377082458814
A12,-0.08638107330295622,-0.2033367782595735,-0.04905155645336193,0.09293611175525383,0.11739981250557519,-0.1327027309497983,-0.01994752599878153
A13,-0.13380402124463187,-0.10293941096306905,-0.03973619435438516,0.11710460663426658,-0.12840510650321338,0.03004347796065393,-0.014985619670436748
A14,-0.08421649256430107,0.1211227912051082,-0.14475356085943572,-0.19861227545519441,-0.17635664284628613,0.11754243953213896,0.042563663899087896
A15,-0.02116371859308547,0.23465698710467028,-0.09982929857375776,-0.081162525262401,-0.0921235156406326,0.10146134124179434,-0.06018282386498907
A16,0.1520086905712245,-0.1714030905077937,-0.05455162568692484,-0.03367891392879292,0.07085940748613867,-0.029509702287062026,0.08836260360988528
A17,0.1651986163757045,0.03193948477038015,0.20351486000128355,-0.06250608397269801,0.0027790185953104223,-0.031844048423714966,-0.02394308799122971
