embedding_dim,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,0.1680821282265533,0.06381529780643572,0.14659402056654652,-0.013099966660024151,-0.1554724281417798,-0.0946282785032444,-0.008381452101362026
A01,-0.006773159313128496,-0.16986214882657524,0.07968092394084947,-0.07943185704504942,-0.06089528744130613,0.33645928187791646,0.11252899413525567
A02,0.18367010092229114,-0.08982252964861995,-0.1295742128613887,-0.05348466951242777,0.018517988245607186,0.021574993058732284,-0.05131752232651152
A03,-0.15677415149651042,0.10838798507293068,-0.12508443378850737,-0.06340079759578349,-0.05112542453126956,0.20904091388761326,0.08376257874478563
A04,-0.04152525746105276,0.22525169071726955,0.0492757975506161,0.0034861218677483524,0.02217619219212098,0.14438280298056472,-0.09181847387460233
A05,-0.09248885236197084,-0.03562406429910496,-0.06201377601809738,0.3202905446724701,-0.08033190421235138,0.039981616885893495,-0.2111447624318179
A06,-0.020299379663133783,-0.012936262963215614,0.17066740020660429,-0.23898139591022874,-0.2614068963555447,0.0703486036902308,-0.139875513876406
A07,-0.17399071613348197,-0.03796878659153458,0.1225779320260056,-0.09540563690017295,-0.1485872961739352,0.11383677410566848,0.11698012480273542
A08,-0.05177024243919881,-0.16548862975579717,-0.1981365292590295,0.08242463683083164,-0.05868811591327402,-0.015905695702540894,0.07615298869608564
A09,0.0015068814010906824,0.12686573412619295,0.24759947628146586,0.06525062400378587,0.03811276700346119,0.0067191520514130795,0.07567828795686951
A10,0.012142787316676213,-0.16699766432788377,-0.03487972637959503,0.035007720811906375,0.045571263005720744,0.05682126839947918,0.483592547491351
A11,0.21452717934585636,-0.02788251943058453,-0.02452826799125933,-0.0407546620406455,-0.03287475966897466,0.0175028810928026,-0.023942619292571722
A12,0.12039721954760198,-0.05708851303103607,0.19841000519930557,0.07015423884797438,-0.07928160001171468,0.023452408969260274,-0.027148327214680426
A13,0.08784613329121713,-0.14956237322949847,0.06920645402638746,-0.2110006044340629,-0.07285677108997181,0.13230890661986175,-0.039839444233982856
A14,-0.06666756198436545,-0.20535975062452538,-0.011097275422734355,0.1196861598810401,-0.10489482257951226,-0.1625578324484396,-0.09480283941636725
A15,-0.07571002882155665,-0.1616342883729607,-0.19148445033957306,-0.0106962227590308,-0.07478656766759367,0.08938121943151524,0.014463710629977025
A16,0.15681516388398944,0.07594060886618992,0.18440873611992756,0.06589958445156918,-0.02984059047499626,-0.02418715460944116,-0.05179111682102388
A17,0.17070732918888512,0.08579350201938304,-0.14016423941724188,-0.06238102455405575,0.05229974978414151,-0.007341525524973071,-0.022637320857250762
A18,0.16485785148595752,0.028010990361142567,-0.08973272356944831,0.14784649539215958,-0.1423180059004468,0.1945511869989646,-0.1838777063259778
A19,-0.1493167295653428,0.16342693046273477,0.009825125749176032,-0.05071362512693606,-0.02670904926243618,-0.08390095892055989,-0.15145532405258416
A20,0.15195445915165728,-0.12535733403577642,0.08328416792848144,-0.131239007147804,-0.06135775277159894,0.08140094520287541,0.06576737704704891
A21,0.09152134337204153,-0.15942353307420734,-0.1648761756372566,0.10841419953997014,-0.09518272469646283,-0.017786967421749154,0.010633748245804797
A22,0.042764911420094906,-0.1598707562411604,-0.0963000672067612,0.1771612897741146,-0.04513600060388793,0.3133954701783045,-0.05914847007157205
A23,-0.04638264274980477,-0.21051544165895283,-0.06304604663857814,0.1044372276693006,-0.14051970239917658,0.0037561269650963915,0.03257623022495519
A24,-0.002689056746408311,0.17413305524282188,0.07542699457824091,-0.21039689785747157,-0.18826226734168103,0.15992739688188415,-0.012214445002484748
A25,0.012228128462866509,0.22079206612851568,-0.11710289675539934,0.05761360413791208,-0.021844720084904037,-0.03692819787988899,0.003974227535288979
A26,0.06269159389650972,0.1339360842716603,-0.05265234136760629,0.19096519091375538,-0.13286405179751687,0.1280068589254434,-0.12921398588832375
A27,0.13139436444697686,0.1800094098411545,0.02201452256303366,-0.009747421845131556,0.12130308456548022,0.006372106302873631,0.14166735101772449
A28,0.015906601887752003,-0.19474316443810252,-0.08235357615338626,0.0054254669623327225,-0.13632475783142978,-0.23648863324244715,-0.2352212464503448
A29,0.05083116322871523,-0.1403435227508405,-0.14532716816404584,-0.12017360545246002,0.19893608763078488,-0.19369745881234163,0.03535261526083296
A30,0.20854218548566497,-0.042813876198387245,-0.03691391348545535,-0.06118177086962575,0.1260082603282993,-0.03460205322319055,-0.01274310541479657
A31,-0.1488513774309973,-0.10607986288172219,0.1210517649796328,0.07740584018363565,-0.11676813515713123,0.16690113799860082,0.06739483828356171
