city,n_tracts,lst_hot_n,hi_hot_n,both_hot_n,lst_only_n,hi_only_n,hotspot_union_n,hotspot_jaccard_overlap,lst_hot_q75_threshold,hi_hot_q75_threshold,centroid_shift_distance_km,centroid_shift_direction,centroid_shift_direction_degrees_from_north,corridor_width_km,corridor_tract_n,corridor_priority_pct,corridor_mean_hi_minus_lst_pct,city_pct_strong_HI_dominant,city_pct_strong_LST_dominant
houston,549,138,140,51,87,89,227,0.22466960352422907,49.66202367059505,34.19809785111112,8.234143092282412,SE,151.70034410033952,3.337465016490164,65,35.38461538461539,0.151183970856102,14.754098360655737,13.114754098360656
phoenix,332,83,97,36,47,61,144,0.25,58.368203839935525,33.68585166804336,35.19919027516227,S,182.08010314273145,3.2068669225291426,115,24.347826086956523,-0.15036668412781562,13.55421686746988,11.74698795180723
las_vegas,458,115,115,74,41,41,156,0.47435897435897434,48.00162733296009,31.98997567412149,50.92984433205554,NE,25.576130175400294,6.0,10,40.0,-0.050436681222707405,4.585152838427948,4.585152838427948
