city,city_label,city_context,n_total,n_ready,ready_pct,mean_lst_c,mean_hi_c,mean_hi_minus_lst,lst_hi_corr,both_pct,lst_only_pct,hi_only_pct,hi_minus_lst_hotspot_pct,neither_pct,missing_pct,priority_pct,mechanism_type,both_pct_recovered,hi_only_pct_recovered,lst_only_pct_recovered,neither_pct_recovered,_order,PC1,PC2
houston,Houston,Coastal / humid,549,549,100.0,47.943522184178214,34.1546822133318,-13.78883997084641,0.3412754779438834,9.289617486338798,15.846994535519126,16.21129326047359,0.3642987249544624,58.65209471766849,0.0,28.051001821493628,Mixed / transitional,9.289617486338798,16.21129326047359,15.846994535519126,58.65209471766849,0,-2.2113699639914386,-0.7875011569128565
phoenix,Phoenix,Inland / desert,332,332,100.0,57.05731291430733,33.287953710745924,-23.769359203561407,0.2912812422021387,10.843373493975903,14.156626506024098,18.373493975903617,4.216867469879515,56.62650602409639,0.0,31.92771084337349,Mixed / transitional,10.843373493975903,18.373493975903617,14.156626506024098,56.62650602409639,1,-1.975233351099299,-1.2361702730002866
las_vegas,Las Vegas,Inland / desert,458,458,100.0,47.00292475936593,31.09656820069598,-15.906356558669952,0.7502048289967429,16.157205240174672,8.951965065502183,8.951965065502183,0.0,65.93886462882097,0.0,26.200873362445417,Coupled LST-HI,16.157205240174672,8.951965065502183,8.951965065502183,65.93886462882097,2,-1.8332700721153905,-2.406884350840464
los_angeles,Los Angeles,Coastal / dry,1108,1080,97.47292418772562,39.58015821490969,22.316720235533815,-17.263437979375873,0.3502317109155967,7.222222222222221,17.77777777777778,25.925925925925924,8.148148148148145,49.07407407407408,2.527075812274368,32.407407407407405,Moderate HI-dominant,7.222222222222221,25.925925925925924,17.77777777777778,49.07407407407408,3,-0.9542676109049862,0.5934637524176593
miami,Miami,Coastal / humid,129,125,96.89922480620154,35.48986387590662,32.54031085100369,-2.949553024902933,0.2137873660556167,23.200000000000003,2.4,52.0,49.6,22.4,3.10077519379845,52.0,Strong HI-dominant,23.200000000000003,52.0,2.4,22.4,4,3.202584393296218,-1.418385433295329
boston,Boston,Coastal / temperate,207,191,92.27053140096618,31.839816995257323,20.89003071732949,-10.949786277927831,0.0001509635897057,13.612565445026178,11.518324607329845,47.64397905759162,36.12565445026178,27.225130890052355,7.729468599033816,47.64397905759162,Strong HI-dominant,13.612565445026178,47.64397905759162,11.518324607329845,27.225130890052355,5,2.23036942787334,1.063855532685194
new_york,New York,Coastal / megacity / dense core,2365,2088,88.28752642706131,32.04032824703527,22.6927328517768,-9.34759539525847,0.0533020407087778,5.795019157088123,19.20498084291188,19.54022988505747,0.3352490421455911,55.45977011494253,11.71247357293869,27.53831417624521,Mixed / transitional,5.795019157088123,19.54022988505747,19.20498084291188,55.45977011494253,6,-1.379053015411554,1.6290365714150334
chicago,Chicago,Great Lakes / large grid city,872,872,100.0,33.529735183630024,21.349919987413735,-12.179815196216284,0.631142924321808,18.46330275229358,6.536697247706422,17.545871559633028,11.009174311926609,57.45412844036697,0.0,28.55504587155963,Moderate HI-dominant,18.46330275229358,17.545871559633028,6.536697247706422,57.45412844036697,7,-0.05074000962078597,-1.280700801855703
atlanta,Atlanta,Inland / humid / sprawling Sun Belt,223,223,100.0,33.10507557125028,25.56934602618884,-7.535729545061443,-0.268547625635977,6.726457399103139,18.385650224215247,32.28699551569507,13.90134529147982,42.600896860986545,0.0,33.6322869955157,Moderate HI-dominant,6.726457399103139,32.28699551569507,18.385650224215247,42.600896860986545,8,-0.3040428865471426,2.0639566615578353
dallas,Dallas,Inland / large Sun Belt / car-oriented,449,449,100.0,39.23019107225657,33.1097880895593,-6.120402982697264,0.1087414753143568,12.47216035634744,12.694877505567929,18.70824053452116,6.013363028953231,56.12472160356348,0.0,29.398663697104677,Mixed / transitional,12.47216035634744,18.70824053452116,12.694877505567929,56.12472160356348,9,-1.1886211660726045,-0.29340679677190534
seattle,Seattle,Coastal / Pacific Northwest / water-constrained,199,188,94.47236180904522,28.00460691266975,18.96271613181368,-9.041890780856072,-0.0637213215272988,3.1914893617021276,21.808510638297875,32.97872340425532,11.170212765957444,42.02127659574468,5.527638190954774,38.297872340425535,Moderate HI-dominant,3.1914893617021276,32.97872340425532,21.808510638297875,42.02127659574468,10,-0.10451727590796372,2.7538563358096653
san_francisco,San Francisco,Coastal / compact / bay-influenced,260,188,72.3076923076923,27.964185991305197,16.245935362499566,-11.718250628805633,0.2762610770023599,26.595744680851062,0.0,53.191489361702125,53.191489361702125,20.212765957446805,27.692307692307693,53.72340425531915,Strong HI-dominant,26.595744680851062,53.191489361702125,,20.212765957446805,11,4.568161530501601,-0.6811200412088484
